,key_0,Unnamed: 0,product_id,final_list,product_color_id,attribute_name,attribute_value,no,yes
632,18613,21557,01DPGSFJK363CXPQDA2NZ7KKH1,"['vail', 'skirt', 'blank', 'canvas', 'closet', 'vail', 'skirt', 'designed', 'stretch', 'fabric', 'custom', 'fit', 'timeless', 'silhouette', 'complement', 'blouse', 'knit', 'available', 'black', 'bottom', 'Veronica', 'Beard']",01DPGSFJK72QTRCPJZ0ZSFBR3X,dry_clean_only,yes,0,1
370,11609,13488,01DPGSTG4M1RXB26QMMN0MPPB8,"['mockneck', 'sweater', 'supersoft', 'yarn', 'cozy', 'flattering', 'mockneck', 'sweater', 'feel', 'good', 'look', 'thanks', 'crazy-soft', 'blend', 'yarn', 'one', 'want', 'wear', 'every', 'single', 'day', 'speak', 'experience', 'sweater', 'J.Crew']",01DPGSTMMX4V456S2DNYAM5ZT3,dry_clean_only,yes,0,1
430,12931,15059,01DPGT0E7WVPXS08E94KBYJ7MB,"['schoolboy', 'dickey', 'jacket', 'schoolboy', 'dickey', 'jacket', 'nod', 'prep', 'school', 'style', 'available', 'lightweight', 'linen', 'ideal', 'petite', 'body', 'type', 'tailored', 'jacket', 'designed', 'slightly', 'shrunken', 'silhouette', 'three-quarter', 'length', 'sleeve', 'single', 'button', 'closure', 'compatible', 'veronica', 'beard', 'dickey', 'dickey', 'cuff', 'cannot', 'worn', 'style', 'available', 'beige', 'white', 'hit', 'hip', 'jacket', 'Veronica', 'Beard']",01DPGT0E818JCM618BG58519XR,dry_clean_only,yes,0,1
28,804,943,01DPGTXD3HEJ83GAWGBNB0PV92,"['belted', 'denim', 'boilersuit', 'love', 'of-the', 'moment', 'ease', 'utility-style', 'jumpsuit', 'gave', 'one', 'flattering', 'feminine', 'twist', 'self-tie', 'belt', 'waist', 'slightly', 'cropped', 'straight', 'leg', 'dressesandjumpsuits', 'J.Crew']",01DPGTXD3NHY7WYGZ9176CH63M,dry_clean_only,no,1,0
530,15332,17814,01DPGV4P9Q64D12BEW3CNK5VFP,"['balloon', 'sleeve', 'tee', 'feminine', 'balloon', 'sleeve', 'modernize', 'classic', 'crew-neck', 't-shirt', 'effortless', 'way', 'elevate', 'jean', 'short', 'linen', 'trouser', 'top', 'Frame']",01DPGV4P9V410XTHQKB3AEC2HJ,dry_clean_only,yes,0,1
244,7629,8855,01DPGV52E2XTG7PPG8N0PV5K05,"['pleated', 'clean', 'collar', 'shirt', 'fashion-forward', 'take', 'clean', 'collared', 'shirt', 'classic', 'button', 'feature', 'voluminous', 'pleated', 'shoulder', 'extra-wide', 'cuff', 'modern', 'mandarin', 'collar', 'cut', 'cotton', 'easy-chic', 'style', 'wear', 'everything', 'linen', 'trouser', 'denim', 'short', 'top', 'blouse', 'Frame']",01DPGV52E7WGEX922NGT1A75SP,dry_clean_only,no,1,0
66,2055,2386,01DPGV907RVE6WXD00BN285VQV,"['cali', 'popover', 'quintessentially', 'bohemian', 'flowy', 'black', 'top', 'summer', 'wardrobe', 'staple', 'feminine', 'lace', 'pleat', 'detailing', 'voluminous', 'sleeve', 'wear', 'everything', 'cut-off', 'short', 'utility', 'trouser', 'vintage-inspired', 'denim', 'top', 'Frame']",01DPGVD4HNN5KM9FZS8Q0KM0AN,dry_clean_only,no,1,0
556,16524,19136,01DPGV9H71T38N538ND3S5NSMC,"['pch', 'leather', 'jacket', 'crafted', 'premium', 'leather', 'edgy', 'leather', 'jacket', 'designed', 'lived-in', 'feel', 'first', 'wear', 'distinctive', 'mossy', 'green', 'shade', 'effortless', 't-shirt', 'jean', 'take', 'evening', 'layer', 'slip', 'dress', 'heeled', 'sandal', 'boot', 'jacket', 'coat', 'Frame']",01DPGV9H74TXJ2HX8G05QXGC2V,dry_clean_only,yes,0,1
578,17024,19709,01DPGVAZNJ8XB7TMY3Z7K56S0E,"['gathered', 'crew', 'gently', 'puffed', 'sleeve', 'modernize', 'wardrobe-essential', 't-shirt', 'endlessly', 'versatile', 'wear', 'casually', 'jean', 'trouser', 'skirt', 'tuck', 'trouser', 'laidback', 'take', 'smart', 'style', 'top', 'Frame']",01DPGVAZNP2J04DSDCSQ57PS6C,dry_clean_only,no,1,0
548,16286,18870,01DPGVCKPF8T4PQKFHV2TY8HHG,"['le', 'high', 'rise', 'neck', 'tee', 'made', 'collection', 'fine', 'peruvian', 'pima', 'cotton', 't-shirt', 'perfectly', 'complement', 'signature', 'denim', 'fit', 'tee', 'come', 'two', 'fit', 'longer', 'length', 'mid-rise', 'denim', 'cropped', 'length', 'high', 'rise', 'choose', 'le', 'high', 'rise', 'neck', 'high-rise', 'jean', 'shirt', 'tee', 'Frame']",01DPGZ73C1FJN75PP9ACPBSAP1,dry_clean_only,no,1,0
438,13083,15237,01DPGVEF7HJ2WP5J1HHS8THN5Y,"['satin', 'lounge', 'tank', 'silky', 'satin', 'camisole', 'tank', 'cut', 'bias', 'body-skimming', 'fit', 'wear', 'solo', 'jean', 'smarten', 'tailored', 'separate', 'top', 'blouse', 'Frame']",01DPGVEF7Q1D80XXHDDKK4JC6C,dry_clean_only,yes,0,1
544,16179,18756,01DPGVENJ4DK9VAWAW5G8TH5AR,"['le', 'palazzo', 'pant', 'film', 'noir', 'classic', 'pocket', 'styling', 'palazzo', 'silhouette', 'constructed', 'premium', 'denim', 'hint', 'stretch', 'white', 'wash', 'high', 'rise', 'long', 'wide', 'leg', 'finish', 'jean', 'Frame']",01DPGVENJ9J5G53PKDKG6XS4AK,dry_clean_only,no,1,0
832,23809,27617,01DPGVF16NCKCEGM24V3RQ7JZG,"['shirt', 'nostalgic', 'silhouette', 'modern', 'update', 'silk', 'blouse', 'feature', 'smart', 'subtle', 'detail', 'like', 'sharply-pointed', 'collar', 'fabric-covered', 'button', 'wear', 'everything', 'flared', 'denim', 'leather', 'skirt', 'top', 'Frame']",01DPGVQ92WPJDWEWHMNFVS76W6,dry_clean_only,yes,0,1
914,26151,30345,01DPGVFKW3VKJNRR60DZGJ402V,"['le', 'high', 'skinny', 'classic', 'inspired', 'high-rise', 'jean', 'contemporary', 'skinny', 'silhouette', 'grey', 'wash', 'feature', 'whiskering', 'slight', 'fade', 'thigh', 'jean', 'Frame']",01DPGVFKW6WKTZF8SAJGNMPWCV,dry_clean_only,no,1,0
636,18730,21691,01DPGVH2GJSJSVE1RP5TF1J3XS,"['tie', 'dye', 'true', 'tee', 'retro', 'feel', 'tie', 'dye', 't-shirt', 'wardrobe', 'classic', 'not-too', 'loose', 'not-too', 'fitted', 'silhouette', 'tuck', 'high-rise', 'denim', 'wear', 'loosely', 'short', 'weekend', 'shirt', 'tee', 'Frame']",01DPGVH2GPJR943ZYRHZ8Y297F,dry_clean_only,no,1,0
1456,43453,50311,01DPGVHG06B7RFN6WWHQ52JREA,"['le', 'high', 'skinny', 'classic', 'inspired', 'high-rise', 'contemporary', 'skinny', 'silhouette', 'crafted', 'premium', 'denim', 'dark', 'blue', 'wash', 'super', 'stretch', 'strong', 'recovery', 'jean', 'Frame']",01DPGVHG0ARH5Y73R40HP2E83F,dry_clean_only,no,1,0
644,18906,21884,01DPGVP9X6JH24MWR1V2RW2WNP,"['frame', 'exclusive', 'forever', 'karlie', 'skinny', 'jean', 'blanc', 'exclusive', 'collaboration', 'supermodel', 'karlie', 'kloss', 'delivers', 'perfect', 'skinny', 'jean', 'taller', 'girl', 'crafted', 'premium', 'stretch', 'denim', 'dark', 'wash', 'skinny', 'jean', 'offer', 'high-rise', 'waist', 'comfortable', 'denim', 'fit', 'lengthened', 'leg', 'proportion', ""they're"", 'perfect', 'jean', 'taller', 'girl', 'jean', 'Frame']",01DPGVQTY7AXRBZGQXHSD508QD,dry_clean_only,no,1,0
582,17094,19790,01DPGVPSERRH7AMXV14C0WAZAX,"['le', 'high', 'skinny', 'raw', 'edge', 'modern', 'high-rise', 'skinny', 'jean', 'side', 'stripe', 'frayed', 'detail', 'cut', 'premium', 'stretch', 'denim', 'pair', 'designed', 'sit', 'small', 'waist', 'form-fitting', 'shape', 'end', 'ankle', 'jean', 'Frame']",01DPGVPSEW8V3DJQD2N7VM10HT,dry_clean_only,no,1,0
640,18805,21775,01DPGVPXGVRATYPX8CVPG6C2JE,"['harem', 'pant', 'utilitarian', 'inspired', 'harem', 'pant', 'channel', 'marrakesh', 'vibe', 'cut', 'breathable', 'linen', 'blend', 'tulip-style', 'waist', 'pleat', 'detailing', 'style', 'simply', 't-shirt', 'gauzy', 'blouse', 'bohemian', 'ease', 'pant', 'Frame']",01DPGVPXH1EV9NNFFDTAHWMYV3,dry_clean_only,yes,0,1
642,18847,21821,01DPGVPZJKKCV6B6E443K26DBK,"['contrast', 'stitch', 'bardot', 'crop', 'flare', 'contrast', 'stitching', 'give', 'cropped', 'jean', 'vintage', 'feel', 'fitted', 'waist', 'thigh', 'flaring', 'knee', 'ending', 'ankle', 'pair', 'bodes', 'well', 'wardrobe', 'jean', 'Frame']",01DPGVPZJQPA6AD2NM8XBD6VZM,dry_clean_only,no,1,0
638,18758,21722,01DPGVQ73Z4Z70HN3T4XS9HBEH,"['le', 'high', 'leather', 'skinny', 'classic', 'inspired', 'high-rise', 'contemporary', 'skinny', 'silhouette', 'crafted', 'exquisite', 'stretch', 'leather', 'feature', 'pocket', 'construction', 'split', 'hem', 'versatile', 'staple', 'season', 'dressed', 'worn', 'casually', 'pant', 'Frame']",01DPGVQ7432PBVW7RTCXKPH2DA,dry_clean_only,no,1,0
398,12261,14248,01DPGVQB95XKE259QQ4NQJZSHS,"['le', 'skinny', 'de', 'jeanne', 'classic', 'skinny', 'clean', 'slim', 'silhouette', 'cut', 'premium', 'stretch', 'denim', 'strong', 'recovery', 'instant', 'wardrobe', 'essential', 'wear', 'endlessly', 'jean', 'Frame']",01DPGVQB9A0VZAH6KJZB2N3AZ9,dry_clean_only,no,1,0
396,12215,14199,01DPGVQFN5QGRBNPH3ZEP8TTGB,"['le', 'mini', 'boot', 'high-rise', 'jean', 'sits', 'natural', 'waist', 'cut', 'premium', 'denim', 'stretch', 'blue', 'wash', 'feature', 'whiskering', 'gentle', 'fade', 'fitted', 'hip', 'thigh', 'slight', 'kick', 'knee', 'jean', 'Frame']",01DPGVQFN9CR9J1RZ791SSMCM3,dry_clean_only,no,1,0
576,16977,19659,01DPGVQGS119PQ5Y4GNG28G1ZR,"['le', 'high', 'skinny', 'raw', 'edge', 'classic', 'high-rise', 'skinny', 'jean', 'modern', 'appeal', 'designed', 'sit', 'small', 'waist', 'form-fitting', 'shape', 'pair', 'cut', 'premium', 'stretch', 'denim', 'feature', 'raw', 'hem', 'jean', 'Frame']",01DPGVQGS5Y21HAVMW8B3655C1,dry_clean_only,no,1,0
916,26202,30403,01DPGVQJX1CQ80NT7CYXQ3XSAG,"['jacquard', 'keyhole', 'top', 'alluring', 'keyhole', 'strong', 'shoulder', 'give', 'striped', 'jacquard', 'silk', 'shirt', 'striking', 'finish', 'team', 'noir', 'denim', 'sleek', 'look', 'wear', 'printed', 'skirt', 'high-impact', 'combination', 'top', 'Frame']",01DPGVQJX687RD8PABFTJ6MFT5,dry_clean_only,yes,0,1
830,23762,27566,01DPGVQKRRGMDKHYTC10C5F8DM,"['le', 'high', 'skinny', 'raw', 'hem', 'cropped', 'high-rise', 'skinny', 'jean', 'modern', 'feel', 'designed', 'sit', 'small', 'waist', 'form-fitting', 'shape', 'light', 'vintage-wash', 'pair', 'cut', 'premium', 'stretch', 'denim', 'raw', 'hem', 'ending', 'ankle', 'jean', 'Frame']",01DPGVQKRVDED59SFENTSS40SX,dry_clean_only,no,1,0
648,18985,21973,01DPGVQNTVHNCN899K6ST8D84J,"['le', 'high', 'flare', 'sutherland', 'inspired', 'mid-weight', 'flare', 'stretch', 'denim', 'dark', 'blue', 'wash', 'skinny', 'fit', 'dramatic', 'flare', 'jean', 'Frame']",01DPGVQNTZGP7A9V2A16EA4HVQ,dry_clean_only,no,1,0
650,19033,22026,01DPGVQPY781RN59KVY4FANX4S,"['pleated', 'clean', 'short', 'sleeve', 'classic', 'button-down', 'shirt', 'easy-chic', 'styling', 'cuffed', 'short', 'sleeve', 'modern', 'mandarin', 'collar', 'wear', 'repeat', 'denim', 'linen', 'loose', 'swimwear', 'top', 'blouse', 'Frame']",01DPGVQPYG4P0SP7XTBCXJ2V3Q,dry_clean_only,yes,0,1
574,16933,19611,01DPGVQSJ329NA1K04NPB3CQRR,"['le', 'high', 'skinny', 'button', 'fly', 'classic', 'high-rise', 'skinny', 'jean', 'button-front', 'fly', 'cut', 'premium', 'stretch', 'denim', 'medium-blue', 'pair', 'designed', 'sit', 'small', 'waist', 'form-fitting', 'shape', 'end', 'ankle', 'jean', 'Frame']",01DPGVQSJ8ESRX13PWP06PSQ56,dry_clean_only,no,1,0
400,12303,14295,01DPGVQXPMV44THE1FEPS8WMFS,"['cali', 'top', 'blouson', 'sleeve', 'sweeten', 'polka-dot', 'print', 'blouse', 'featuring', 'deep', 'v-shaped', 'neckline', 'mandarin', 'collar', 'style', 'everything', 'summer-white', 'denim', 'linen', 'trouser', 'short', 'top', 'blouse', 'Frame']",01DPGVQXPS3R5ZFCS35EQ2YDQJ,dry_clean_only,yes,0,1
572,16900,19570,01DPGVQYVFSBEP5RK51CZTK5YB,"['velvet', 'stand', 'soutache', 'jacket', 'sumptuous', 'velvet', 'sharpens', 'via', 'sleek', 'military-inspired', 'jacket', 'featuring', 'stand', 'collar', 'slim', 'lapel', 'intricate', 'chord', 'detailing', 'style', 'effortlessly', 't-shirt', 'jean', 'try', 'sateen', 'pant', 'luxe', 'take', 'tailoring', 'jacket', 'coat', 'Frame']",01DPGVQYVKWJEZ9AK47V6SC09E,dry_clean_only,yes,0,1
814,23405,27157,01DPGWW48XB73WGP4S83GRHRHB,"['le', 'sylvie', 'slender', 'straight', 'leg-lengthening', 'straight-leg', 'jean', 'designed', 'cleverly', 'engineered', 'high-rise', 'fit', 'contour', 'waist', 'vintage-inspired', 'style', 'retro', 'top', 'cool', 'boot', 'jean', 'Frame']",01DPGWW4920QGVCJ3MGWSJNK6P,dry_clean_only,no,1,0
570,16850,19513,01DPGWWE56777EGER33TKY9FP7,"['paisley', 'party', 'dress', 'channel', 'glamour', 'bohemia', 'paisley-printed', 'mini', 'dress', 'stitched', 'metallic', 'thread', 'featuring', 'v-shaped', 'neckline', 'elasticized', 'drop', 'waist', 'voluminous', 'blouson', 'sleeve', 'fail-safe', 'barely-there', 'heel', 'bold', 'jewelry', 'dress', 'Frame']",01DPGWWE5A7WK9HRG7DCEBKE6M,dry_clean_only,yes,0,1
568,16793,19451,01DPGX3HW860FEW1MC79RMW623,"['balloon', 'sleeve', 'tee', 'feminine', 'balloon', 'sleeve', 'modernize', 'classic', 'crew-neck', 't-shirt', 'effortless', 'way', 'elevate', 'jean', 'short', 'linen', 'trouser', 'shirt', 'tee', 'Frame']",01DPGX3HWBQTBM67QX70KGV4BX,dry_clean_only,no,1,0
566,16746,19396,01DPGX7WBBE4PDWY4GVZ67WJS1,"['cali', 'romper', 'blouson', 'sleeve', 'sweeten', 'denim-effect', 'romper', 'featuring', 'v-shaped', 'neckline', 'mandarin', 'collar', 'elasticized', 'waist', 'self-tie', 'belt', 'style', 'sneaker', 'flat', 'sandal', 'duty', 'jumpsuit', 'romper', 'Frame']",01DPGX7WBFRXZ47BBVCMG8K4JD,dry_clean_only,no,1,0
564,16703,19347,01DPGXF9VG7ZCA0QNSD0AQ1N6T,"['le', 'nik', 'low-slung', 'jean', 'designed', 'sit', 'straight', 'hip', 'relaxed', 'feel', 'featuring', 'toothpick', 'leg', 'cuff', 'end', 'right', 'ankle', 'try', 'hoodie', 'sneaker', 'off-duty', 'jean', 'Frame']",01DPGXF9VNZC5Y43SJ2CHQ4JGY,dry_clean_only,no,1,0
40,1229,1444,01DPGXFHKP8MA3F81T2DG319GH,"['ruffle', 'classic', 'popover', 'shirt', 'liberty', 'favourite', 'flower', 'made', 'lightweight', 'cotton', 'print', 'liberty', 'london', 'british', 'print', 'house', 'known', 'mood-lifting', 'florals', 'since', 'classic', 'popover', 'perfect', 'match', 'skirt', 'jean', 'legging', 'shirts_tops', 'J.Crew']",01DPGXFHKV97X3ZK0W9F2E386D,dry_clean_only,no,1,0
