,key_0,Unnamed: 0,product_id,final_list,product_color_id,attribute_name,attribute_value,accessory,blazerscoatsjackets,bottom,onepiece,shoe,sweater,sweatshirthoodie,top
6475,104053,123349,01E60710RJME1ADG2P26BGBQJ2,"['rocket', 'crop', 'skinny', 'jean', 'ankle-grazing', 'skinny', 'cut', 'premium', 'denim', 'feature', 'perfect', 'fade', 'go', 'everything', 'Citizens', 'Of', 'Humanity']",01E60710TXTG7K84PT2CVEETSN,category,bottom,0,0,1,0,0,0,0,0
6285,101559,120149,01E6070VRWB5CXSBDCFNWB2NMF,"['danna', 'pointy', 'toe', 'pump', 'step', 'sophisticated', 'style', 'shapely', 'pump', 'lifted', 'slender', 'stiletto', 'heel', 'Sam', 'Edelman']",01E6071B354DWWQZDZKXKYRSQK,category,shoe,0,0,0,0,1,0,0,0
3635,63162,73952,01E6070PV3HPRF6R499Q7N0M88,"['heavy', 'crepe', 'blouse', 'nicely', 'weighted', 'crepe', 'provides', 'beautiful', 'drape', 'loose-cut', 'blouse', 'framed', 'voluminous', 'bishop', 'sleeve', 'Ganni']",01E6070PWDZ4V52S833GWJFJQJ,category,top,0,0,0,0,0,0,0,1
6451,103709,122832,01E6070892T9HB6NZ6APHTZ70N,"['air', 'ankle', 'skinny', 'jean', 'made', 'ultrasoft', 'lightweight', 'air', 'denim', 'streamlined', 'skinny', 'jean', 'cast', 'inky', 'black', 'wash', 'transition', 'seamlessly', 'day', 'night', '7', 'For', 'All', 'Mankind®']",01E60708AK4Q55J73MQ62YEA74,category,bottom,0,0,1,0,0,0,0,0
5773,94100,111429,01E607036T15Q0N3N43VVX4JZJ,"['ines', 'embellished', 'slide', 'tory', 'step', 'glam', 'linen-and', 'calfskin', 'slide', 'iconic', 'double', 'logo', 'covered', 'rainbow', 'sparkling', 'jewel', 'Tory', 'Burch']",01E6070385M9YSQ6SQM7HQFDC8,category,shoe,0,0,0,0,1,0,0,0
2433,44652,51746,01E606ZSSETA2X60TY021JG303,"['pack', 'crystal', 'embellished', 'pointed', 'toe', 'bootie', 'glitzy', 'crystal', 'dot', 'angled', 'heel', 'glossy', 'patent', 'leather', 'bootie', 'featuring', 'sharp', 'pointy-toe', 'silhouette', 'glam', 'attitude', 'Simon', 'Miller']",01E606ZST0GCWKV6Z58HJSEAGE,category,shoe,0,0,0,0,1,0,0,0
4088,70081,82074,01E606XT0N94W9MMSQN9K88DSK,"['textured', 'ribbed', 'cotton', 'blend', 'sweater', 'stretch-kissed', 'blend', 'italian', 'yarn', 'elevates', 'staple', 'sweater', 'done', 'versatile', 'longer', 'length', 'finished', 'side', 'slit', 'easy', 'movement', 'Vince']",01E606Y1821GE6HE4ZXS3G11EZ,category,sweater,0,0,0,0,0,1,0,0
2682,48512,56227,01E606WQQW3W31B1YQVMCEMQTF,"['olive', 'puff', 'pleated', 'sleeve', 'cotton', 'midi', 'dress', 'sheer', 'delicately', 'pleated', 'balloon', 'sleeve', 'trimmed', 'ruffle', 'accentuate', 'easy', 'cotton', 'poplin', 'midi', 'dress', 'flowy', 'drop-waist', 'silhouette', 'Sea']",01E606WQRFP1QZJ11MDZ01845M,category,onepiece,0,0,0,1,0,0,0,0
3453,60580,70677,01E606TX1A1NE6D6QS2G6XGVNX,"['ruffle', 'puff', 'sleeve', 'merino', 'wool', 'sweater', 'white', 'stripe-trimmed', 'ruffle', 'add', 'playful', 'squiggled', 'accent', 'puff', 'sleeve', 'navy', 'sweater', 'made', 'ribbed', 'superfine', 'merino', 'wool', 'Frame']",01E606TX1WA8V7B8V42AA9YQT8,category,sweater,0,0,0,0,0,1,0,0
4546,76769,90150,01E606TEA5N45P2KBMVRKT6VZ6,"['insider', 'high', 'waist', 'crop', 'step', 'fray', 'jean', 'go-to', 'white-wash', 'jean', 'updated', 'high', 'waist', 'cutoff', 'step', 'hem', 'fresh', 'look', 'flaunt', 'footwear', 'Mother']",01E606TEAR4GRM6VHM4F7P9J7K,category,bottom,0,0,1,0,0,0,0,0
3639,63229,74028,01E606T9J1PFPHXTJGVC339NDQ,"['leopard', 'print', 'mesh', 'long', 'sleeve', 'dress', 'fierce', 'spot', 'inject', 'even', 'attitude', 'curve-hugging', 'mesh', 'dress', 'ruched', 'throughout', 'flattering', 'fit', 'Ganni']",01E606T9JTZNP35JWDR507W3QT,category,onepiece,0,0,0,1,0,0,0,0
3454,60594,70694,01E606T4T2HH0F29PMX8RT2ZFJ,"['le', 'scoop', 'organic', 'cotton', 'top', 'staple', 'piece', 'worn', 'often', 'choose', 'wisely', 'wear-everywhere', 't-shirt', 'styled', 'graceful', 'scooped', 'neck', 'made', 'organic', 'pima', 'cotton', 'Frame']",01E606T4TK5BVGTQACM8DH40XT,category,top,0,0,0,0,0,0,0,1
4978,82873,97830,01E606R02TND6B512Q0QM9AW3N,"['grommet', 'leather', 'belt', 'large', 'polished', 'grommet', 'set', 'glossy', 'leather', 'belt', 'allow', 'find', 'perfect', 'fit', 'Allsaints']",01E606R03BV1M8T3XJP396ZZC4,category,accessory,1,0,0,0,0,0,0,0
6337,102301,121119,01E606Q2SK4WSQ4ANQ9KZRKQCW,"['small', 'leather', 'tote', 'scaled-down', 'version', 'mansur', 'gavriel', 'cult-status', 'tote', 'crafted', 'vegetable-tanned', 'italian', 'leather', 'wear', 'uniquely', 'time', 'Mansur', 'Gavriel']",01E606Q2T4PYDQ46ZWWXT4HQ16,category,accessory,1,0,0,0,0,0,0,0
6315,101990,120713,01E606PY31WK6TPGFGN6EKJW1Q,"['natalia', 'metallic', 'shibori', 'long', 'sleeve', 'silk', 'blend', 'dress', 'metallic', 'fleck', 'illuminate', 'earthy', 'shibori-dyed', 'pattern', 'fluttery', 'ruffled', 'minidress', 'Ulla', 'Johnson']",01E606PY3N4QH8J1G1RWW9SNF4,category,onepiece,0,0,0,1,0,0,0,0
4090,70121,82123,01E606P5NW21AA5JX9W31CQBDM,"['essential', 'long', 'sleeve', 'pima', 'cotton', 'tee', 'made', 'supremely', 'soft', 'pure', 'pima', 'cotton', 'cut', 'just-right', 'relaxed', 'fit', 'wonder', 'wear-everywhere', 'crewneck', 'called', 'essential', 'Vince']",01E606P5PE7941F859PGG4RSSH,category,top,0,0,0,0,0,0,0,1
5774,94118,111451,01E606MYE0S8EGFRDF6JT79ZY7,"['mcgraw', 'floral', 'camera', 'bag', 'leather', 'camera-style', 'bag', 'chain-detailed', 'crossbody', 'strap', 'turned', 'statement', 'maker', 'tory', 'lavishly', 'colored', 'floral', 'pattern', 'Tory', 'Burch']",01E606MYEKVH5D6B5PE9HC2K1Z,category,accessory,1,0,0,0,0,0,0,0
4238,72216,84643,01E606KJS1CGPN1QADPAN9KJRN,"['maro', 'toe', 'loop', 'sandal', 'minimalist', 'modern', 'masterfully', 'crafted', 'sandal', 'live', 'season', 'styled', 'toe', 'loop', 'gently', 'lifted', 'cylindrical', 'heel', 'Vince']",01E606KJVJN93W4KFAZA94DVHP,category,shoe,0,0,0,0,1,0,0,0
4519,76370,89610,01E606HQS50FZF40JZD9GDKRQ5,"['toothpick', 'jean', 'lean', 'cropped', 'little', 'bit', 'sexy', 'crew', 'skinniest', 'style', 'cut', 'high-tech', 'turkish', 'stretch', 'cotton', 'super-flattering', 'fit', 'J.Crew']",01E606HQSPGDY1JZAAZSS4H89W,category,bottom,0,0,1,0,0,0,0,0
2719,49065,56885,01E606GTD9481VCX6T9RCYHJP1,"['lucy', 'ruffle', 'cotton', 'top', 'double-edged', 'frill', 'form', 'flutter', 'sleeve', 'gauzy', 'cotton', 'top', 'gathered', 'ruffle', 'neck', 'secured', 'shining', 'button', 'keyhole', 'back', 'Sea']",01E606GTDT7QS04HC3VNYKET6N,category,top,0,0,0,0,0,0,0,1
5772,94085,111411,01E606GBV7SSP3TN5PH119AFPD,"['floral', 'cotton', 'polo', 'classic', 'cotton', 'polo', 'change', 'game', 'delicate', 'florals', 'arranged', 'front', 'tumbling', 'sleeve', 'Tory', 'Burch']",01E606GBVRNGAKZRS5YXST3GHE,category,top,0,0,0,0,0,0,0,1
4518,76362,89601,01E606ENXVQV0VHZKPD0MQR8Y0,"['zip-up', 'stripe', 'cotton', 'terry', 'hoodie', 'collection', 'comfy', 'low-key', 'piece', 'made', 'spirit', 'saturday', 'morning', 'mind', 'cotton', 'terry', 'hoodie', 'worn-forever', 'feel', 'get-go', 'J.Crew']",01E606ENYERKA92JWN6QQM5SD8,category,sweatshirthoodie,0,0,0,0,0,0,1,0
2614,47395,54943,01E606EHC3TQEXWVXPSSN9XY8E,"['v-wrap', 'knit', 'top', 'silk-enhanced', 'ribbed', 'knit', 'make', 'cleverly', 'crafted', 'top', 'comfortable', 'chic', 'easy', 'way', 'stylishly', 'top', 'après-workout', 'look', 'Live', 'The', 'Process']",01E606EHCNQ8XPWKMVYJDKQNKB,category,top,0,0,0,0,0,0,0,1
4240,72241,84676,01E606ECJ368BHVJQCDXTR5R7K,"['drapey', 'boyfriend', 'blazer', 'sheen', 'finish', 'decidedly', 'drapey', 'silhouette', 'one-button', 'blazer', 'casually', 'elegant', 'staple', 'want', 'wear', 'everywhere', 'Vince']",01E606ECJNTSNFH4HJCVMD408D,category,blazerscoatsjackets,0,1,0,0,0,0,0,0
4704,78977,92913,01E606CQGVQW8DT22Q4WZ1CPDN,"['marcella', 'velvet', 'bodysuit', 'plush', 'black', 'velvet', 'bodysuit', 'perfectly', 'drape', 'across', 'figure', 'elegant', 'look', 'day', 'night', ""L'Agence""]",01E606CQKVYQ68EN2MW8TWYNWQ,category,top,0,0,0,0,0,0,0,1
6474,104041,123329,01E606C7SRDEHGS8XZT4ZCNN6Y,"['alexa', 'high', 'waist', 'crop', 'wide', 'leg', 'jean', 'cropped', 'wide-leg', 'jean', 'high', 'waist', 'combine', 'retro', 'vibe', 'comfort', 'modern', 'stretch', 'denim', '7', 'For', 'All', 'Mankind®']",01E606C7TA17VMJ0CB3XS1CBMG,category,bottom,0,0,1,0,0,0,0,0
4541,76690,90040,01E606BY0M7TNPFK265QDGC3RC,"['looker', 'high', 'waist', 'frayed', 'ankle', 'skinny', 'jean', 'cut', 'frayed', 'cropped', 'hem', 'streamlined', 'skinny', 'offer', 'sophisticated', 'take', 'rough-and', 'tumble', 'denim', 'trend', 'Mother']",01E606BY17MH5JGY6JFJP7ZHCZ,category,bottom,0,0,1,0,0,0,0,0
2597,47141,54658,01E606BS8CB7WMQMHK4TCNRFJ5,"['vineyard', 'sandal', 'round', 'buckle', 'look', 'like', 'shaped', 'bamboo', 'brings', 'tropical', 'finish', 'crisscross', 'sandal', 'set', 'towering', 'sculpted', 'heel', 'Charles', 'David']",01E606CD0FYEGC23AFJ84EP5P1,category,shoe,0,0,0,0,1,0,0,0
6288,101607,120200,01E606BFEM7AG619ERCY9Q7XRB,"['jennifer', 'studded', 'combat', 'boot', 'flat-headed', 'stud', 'roped', 'ball', 'bearing', 'trace', 'contour', 'pebbled', 'combat', 'boot', 'set', 'lugged', 'sole', 'cinched', 'shaft', 'two-buckle', 'cuff', 'Sam', 'Edelman']",01E606BFF6YXNCPWK7GN1HAZ3Z,category,shoe,0,0,0,0,1,0,0,0
6316,102007,120738,01E606AVX7BRGY0PJDHK7HVG2A,"['greer', 'wide', 'leg', 'jean', 'roomy', 'pocket', 'robust', 'seam', 'give', 'wide-leg', 'jean', 'distinctly', 'utilitarian', 'feel', 'Ulla', 'Johnson']",01E606AVYKH479C7XC9FR6EZKH,category,bottom,0,0,1,0,0,0,0,0
2423,44493,51539,01E606A8ARCBXW8W94DJKKNQ0D,"['side', 'twist', 'tank', 'dress', 'soft', 'sophistication', 'name', 'game', 'sleeveless', 'twist-front', 'frock', 'crafted', 'supima', 'cotton', 'Stateside']",01E606A8BB55BHS093GQGT3Y5Z,category,onepiece,0,0,0,1,0,0,0,0
6496,104337,123763,01E6069G6TMJB17AHD5JSDTKP4,"['rocket', 'ankle', 'skinny', 'jean', 'fitted', 'throughout', 'versatile', 'skinny', 'jean', 'create', 'polished', 'look', 'dark-ink', 'wash', 'easily', 'transition', 'weekday', 'weekend', 'styling', 'Citizens', 'Of', 'Humanity']",01E6069G7BEYR37C6HCPC35BY4,category,bottom,0,0,1,0,0,0,0,0
2685,48559,56290,01E6068JSZRQXT7VDQB1N7DZZN,"['simone', 'snake', 'embossed', 'puff', 'sleeve', 'minidress', 'trend-savvy', 'snake-embossing', 'add', 'fierce', 'bite', 'burgundy', 'minidress', 'sweet', 'puffed', 'sleeve', 'pert', 'ruffle', 'shoulder', 'Sea']",01E6068JTH9FFX4CFQTYT5J7M2,category,onepiece,0,0,0,1,0,0,0,0
3638,63206,74001,01E60676H83RMEDYGH4VR144ND,"['washed', 'denim', 'strapless', 'peplum', 'top', 'classic', 'tube', 'top', 'reimagined', 'faded', 'nonstretch', 'denim', 'sparkly', 'jeweled', 'button', 'form-fitting', 'cropped', 'silhouette', 'flare', 'pretty', 'peplum', 'Ganni']",01E60676JG4H6T02MPW37MC8BV,category,top,0,0,0,0,0,0,0,1
5776,94138,111481,01E60671M89T17R583RZEW83VW,"['colorblock', 'long', 'sleeve', 'wrap', 'dress', 'stand', 'party', 'season', 'flower', 'frill', 'satin', 'wrap', 'dress', 'blocked', 'luscious', 'high-intensity', 'hue', 'detailed', 'trapunto', 'stitching', 'Tory', 'Burch']",01E60671MTTTRGNSANFJDB5C2F,category,onepiece,0,0,0,1,0,0,0,0
3463,60698,70830,01E6066WQGBEGSKT0BR1YWHB46,"['le', 'garcon', 'slim', 'boyfriend', 'jean', 'sharp', 'tailoring', 'creates', 'modern', 'look', 'ankle-grazing', 'jean', 'combine', 'london-derived', 'style', 'premium', 'la-produced', 'denim', 'Frame']",01E6066WR4RC3HH3Y47K66MFR1,category,bottom,0,0,1,0,0,0,0,0
3641,63257,74064,01E6066E5FNNJ0WH34406A9NB7,"['long', 'sleeve', 'check', 'seersucker', 'wrap', 'dress', 'puffy', 'balloon', 'sleeve', 'play', 'country-meets', 'city', 'charm', 'wrap', 'dress', 'made', 'lightweight', 'cotton-blend', 'seersucker', 'Ganni']",01E6066E62R4VSAJJJ3GV62E50,category,onepiece,0,0,0,1,0,0,0,0
4231,72116,84522,01E60637M6X6YHTZR74D1TA1VP,"['insulated', 'jacket', 'lightweight', 'layer', 'insulation', 'add', 'chilly-weather', 'utility', 'button-front', 'jacket', 'poised', 'addition', 'ensemble', 'Vince']",01E60637MTQJN19TFB6SAMPXZ8,category,blazerscoatsjackets,0,1,0,0,0,0,0,0
2718,49043,56861,01E6062M6P01XR30FAP1NZBH13,"['alessandra', 'crop', 'bustier', 'linen', 'blend', 'top', 'cropped', 'bustier', 'top', 'tailored', 'look', 'brings', 'tropical', 'vacay', 'vibe', 'thanks', 'italian', 'stretch-linen', 'blend', 'cool', 'off-white', 'hue', 'A.L.C.']",01E6062M9DRV5D3RASZPAXTDRB,category,top,0,0,0,0,0,0,0,1
4531,76550,89844,01E6062F0BZBTN9YVYCVDKKM05,"['dazzler', 'high', 'waist', 'yoke', 'front', 'ankle', 'jean', 'switch', 'thing', 'denim', 'day', 'ankle-grazing', 'jean', 'designed', 'flattering', 'yoked', 'front', 'Mother']",01E6062F10STCQ2SPDJXEPCHGJ,category,bottom,0,0,1,0,0,0,0,0
6278,101467,120043,01E60625QT93EPV3EBE2EPHCJC,"['bay', 'strappy', 'scarf', 'knot', 'slide', 'sandal', 'scarf-like', 'knotted', 'accent', 'strappy', 'vamp', 'enhances', 'fun', 'leisurely', 'vibe', 'topstitched', 'leather', 'sandal', 'Sam', 'Edelman']",01E60625RDP9M4YNJ40H7SBNM0,category,shoe,0,0,0,0,1,0,0,0
6327,102166,120952,01E6061HTGNYMWSQS1PD9M62EH,"['simone', 'puff', 'sleeve', 'eyelet', 'shift', 'dress', 'breezy', 'white-eyelet', 'shift', 'dress', 'look', 'even', 'fresher', 'pronounced', 'cutout', 'pattern', 'accenting', 'neckline', 'scalloped', 'hem', 'puffed', 'sleeve', 'Ulla', 'Johnson']",01E6061HX2TGYWH19BB113MQXD,category,onepiece,0,0,0,1,0,0,0,0
3636,63179,73971,01E6061CYK090DFQ0VMYB5BYGT,"['lightweight', 'jersey', 'turtleneck', 'exposed', 'seam', 'give', 'inside-out', 'look', 'essential', 'longline', 'turtleneck', 'cut', 'lightweight', 'jersey', 'branded', 'embroidered', 'logo', 'Ganni']",01E6061D14AV721HXFJPFYSQMP,category,top,0,0,0,0,0,0,0,1
4598,77487,91045,01E606181VFGABTKSYBMCRSHRF,"['tenia', 'cotton', 'blend', 'blouse', 'crisp', 'spread', 'collar', 'smooth', 'french', 'placket', 'bring', 'polished', 'sophistication', 'versatile', 'blouse', 'cut', 'pristine', 'stretch-cotton', 'blend', 'Theory']",01E606182F82RF5VRCBMM3B954,category,top,0,0,0,0,0,0,0,1
2565,46630,54042,01E6060SD4D3D6MP15A66AY86E,"['este', 'bootie', 'sure', 'reach', 'wardrobe-staple', 'status', 'square-toe', 'bootie', 'handmade', 'italian', 'leather', 'streamlined', 'design', 'low', 'covered', 'heel', 'By', 'Far']",01E6060SG79KXSJD9FDPFMQ6BM,category,shoe,0,0,0,0,1,0,0,0
4597,77474,91029,01E6060AVDQDPGNQVBB2QP5PWW,"['floral', 'print', 'silk', 'top', 'abstract', 'floral', 'print', 'blossom', 'silky', 'balloon-sleeve', 'top', 'elevates', 'everyday', 'style', 'Theory']",01E6060AW0C866PV2XR4EM5QM9,category,top,0,0,0,0,0,0,0,1
2723,49116,56957,01E605XX418CR95FK4628DPZ2F,"['crop', 'knit', 'hoodie', 'elevate', 'warm-up', 'cooldown', 'comfy', 'cropped', 'hoodie', 'designed', 'neck-warming', 'stand', 'collar', 'hand-warming', 'pocket', 'Live', 'The', 'Process']",01E605XX4KSN0D4V6059NQXCM8,category,sweatshirthoodie,0,0,0,0,0,0,1,0
2715,48990,56796,01E605X8X71G47A82F46NJDB78,"['west', 'puff', 'sleeve', 'top', 'inverted', 'pleat', 'add', 'extra', 'fullness', 'puffed', 'sleeve', 'make', 'easy-to', 'wear', 'top', 'head-turner', 'A.L.C.']",01E605X8ZT73E3TEFXPP8MV6K5,category,top,0,0,0,0,0,0,0,1
6447,103648,122750,01E605W1WB79DBQXXKX5FNB51H,"['twenty', 'ruched', 'sleeve', 'satin', 'blouse', 'showy', 'sleeve', 'bring', 'glorious', 'charm', 'satin', 'top', 'feel', 'fancy', 'fun', 'depending', 'style', 'Zadig', '&', 'Voltaire']",01E605W1WXHPKDWRSGX9AJPGMZ,category,top,0,0,0,0,0,0,0,1
2502,45698,52955,01E605VK67ZSHYCCH68XAKE5QX,"['floral', 'crop', 'pant', 'drawstring', 'waist', 'cropped', 'silhouette', 'bring', 'relaxed', 'lounge-inspired', 'attitude', 'pant', 'slight', 'sheen', 'tonal', 'floral', 'pattern', 'silky', 'feel', 'Raquel', 'Allegra']",01E605VK6TY230WRCJJ5PXM2Z9,category,bottom,0,0,1,0,0,0,0,0
6113,98999,117111,01E605V9DS41A82YRVHYP8CE2P,"['chaos', 'boot', 'crackle', 'finish', 'brings', 'glam', 'update', 'beloved', 'boot', 'still', 'retains', 'tough', 'punky', 'character', 'iconic', 'translucent', 'sole', 'Dr.', 'Martens']",01E605V9EDEGRDNKWKVQKQKF0R,category,shoe,0,0,0,0,1,0,0,0
4997,83153,98159,01E605T79S6FWPJJB8H1YDMHXP,"['rosemary', 'square', 'leather', 'crossbody', 'bag', 'minimalist', 'styling', 'enhances', 'everyday', 'appeal', 'boxy', 'crossbody', 'bag', 'handmade', 'smooth', 'lambskin', 'leather', 'resists', 'scuff', 'scratch', 'Allsaints']",01E605T7ACMA0AVZF2P5KDTDXG,category,accessory,1,0,0,0,0,0,0,0
4517,76338,89571,01E605SX9BJ65CV5E60BM552D8,"['cameron', 'paint', 'embroidered', 'satin', 'chino', 'ultimate', 'month', 'a-year', 'seven-days', 'a-week', 'pant', 'supercute', 'floral', 'embroidery', 'sleek', 'sateen', 'chino', 'fabrication', 'J.Crew']",01E605SX9WJ7J3MTTFRJZM2FH6,category,bottom,0,0,1,0,0,0,0,0
2567,46671,54088,01E605RP9T2DXH3HSXY4322V90,"['genuine', 'calf', 'hair', 'ankle', 'boot', 'notched', 'side', 'update', 'striking', 'ankle', 'boot', 'done', 'wildly', 'patterned', 'genuine', 'calf', 'hair', 'Intentionally', 'Blank']",01E605RPAD4FKTASWVSMZZEAW8,category,shoe,0,0,0,0,1,0,0,0
3442,60444,70497,01E605PQ404C8KH8Y41HCQPXM9,"['le', 'high', 'waist', 'sateen', 'skinny', 'jean', 'velvety', 'smooth', 'japanese', 'sateen', 'make', 'feel', 'extra', 'luxe', 'sleek', 'skinny', 'jean', 'styled', 'high', 'waist', 'ankle-cut', 'hem', 'Frame']",01E605PQ4NXJM892JKH0Y5T231,category,bottom,0,0,1,0,0,0,0,0
6476,104059,123357,01E605NFJJ667X5MZVKG5XTYX4,"['rocket', 'ankle', 'skinny', 'jean', 'fitted', 'throughout', 'versatile', 'skinny', 'jean', 'create', 'sophisticated', 'look', 'dark', 'wash', 'easily', 'transition', 'weekday', 'weekend', 'styling', 'Citizens', 'Of', 'Humanity']",01E605NFK5P61GFP6KJ5GE6J0R,category,bottom,0,0,1,0,0,0,0,0
6110,98941,117046,01E605N11A9X2GK8K9H74Y139F,"['voss', 'slingback', 'platform', 'sandal', 'signature', 'brand', 'detail', 'like', 'gold', 'welt', 'stitching', 'grooved', 'tread', 'lift', 'buckle-strap', 'slide', 'sandal', 'make', 'edgy', 'contrast', 'lightweight', 'ensemble', 'Dr.', 'Martens']",01E605N41KR7YXZD01RHV8HDK8,category,shoe,0,0,0,0,1,0,0,0
4236,72203,84626,01E605KGCR10CFANSZBFNQZGJS,"['crinkle', 'top', 'unstructured', 'cut', 'casually', 'crinkled', 'japanese', 'fabric', 'top', 'wear', 'elegant', 'ease', 'style', 'agenda', 'Vince']",01E605KGD9E97TJYY87K4N8ER1,category,top,0,0,0,0,0,0,0,1
2722,49104,56940,01E605K6CHYZE3N2NX551JB4KX,"['brandon', 'ribbed', 'top', 'form-fitting', 'ribbed', 'texture', 'make', 'top', 'sleek', 'scoop', 'neck', 'three-quarter', 'sleeve', 'pale', 'lilac', 'hue', 'keep', 'look', 'cool', 'A.L.C.']",01E605K6D38ARQFEVPA7FZJQZ6,category,top,0,0,0,0,0,0,0,1
4599,77507,91067,01E605J94SRQAYFGSQ5Z0AHVKC,"['fitted', 'tweed', 'shell', 'cotton-rich', 'tweed', 'shell', 'sculpted', 'modern', 'seam', 'raw-edge', 'detail', 'black-and', 'white', 'option', 'want', 'work-to', 'weekend', 'look', 'Theory']",01E605J95CCJZ4M976QWKGC9M6,category,top,0,0,0,0,0,0,0,1
6244,100976,119467,01E605HYYBJFE2HKMX4TZPQGBH,"['lace', 'sheath', 'dress', 'modern', 'take', 'traditional', 'lace', 'svelte', 'sheath', 'covered', 'combination', 'scalloped', 'bloom', 'circular', 'inset', 'show', 'glimpse', 'skin', 'Sam', 'Edelman']",01E605HYZS5DYD4GWAYTPTNRA3,category,onepiece,0,0,0,1,0,0,0,0
2424,44510,51563,01E605HN394TKXN18F4PF77MFM,"['denim', 'trouser', 'trouser-cut', 'ankle', 'leg', 'unadulterated', 'medium-blue', 'wash', 'polish', 'laid-back', 'jean', 'cut', 'nonstretch', 'all-cotton', 'denim', 'Simon', 'Miller']",01E605HN3W9D1HSDCXJKHEMQC2,category,bottom,0,0,1,0,0,0,0,0
6463,103875,123082,01E605HHA06T5H18YCRZW8PYDH,"['high', 'waist', 'ankle', 'skinny', 'jean', 'get', 'best', 'world', 'high-rise', 'skinny', 'made', 'comfortable', 'italian', 'denim', 'offer', 'vintage', 'look', 'modern', 'stretch', 'technology', '7', 'For', 'All', 'Mankind®']",01E605HHAJQV1RAVXBXNR8B14Z,category,bottom,0,0,1,0,0,0,0,0
