,key_0,Unnamed: 0,product_id,final_list,product_color_id,attribute_name,attribute_value,coldweather,daytonight,nightout,vacation,weekend,work,workout
14974,103706,122828,01E6070892T9HB6NZ6APHTZ70N,"['air', 'ankle', 'skinny', 'jean', 'made', 'ultrasoft', 'lightweight', 'air', 'denim', 'streamlined', 'skinny', 'jean', 'cast', 'inky', 'black', 'wash', 'transition', 'seamlessly', 'day', 'night', '7', 'For', 'All', 'Mankind®']",01E60708AK4Q55J73MQ62YEA74,occasion,weekend,0,0,0,0,1,0,0
13553,94101,111430,01E607036T15Q0N3N43VVX4JZJ,"['ines', 'embellished', 'slide', 'tory', 'step', 'glam', 'linen-and', 'calfskin', 'slide', 'iconic', 'double', 'logo', 'covered', 'rainbow', 'sparkling', 'jewel', 'Tory', 'Burch']",01E6070385M9YSQ6SQM7HQFDC8,occasion,daytonight,0,1,0,0,0,0,0
6000,44642,51735,01E606ZSSETA2X60TY021JG303,"['pack', 'crystal', 'embellished', 'pointed', 'toe', 'bootie', 'glitzy', 'crystal', 'dot', 'angled', 'heel', 'glossy', 'patent', 'leather', 'bootie', 'featuring', 'sharp', 'pointy-toe', 'silhouette', 'glam', 'attitude', 'Simon', 'Miller']",01E606ZST0GCWKV6Z58HJSEAGE,occasion,nightout,0,0,1,0,0,0,0
9767,70080,82073,01E606XT0N94W9MMSQN9K88DSK,"['textured', 'ribbed', 'cotton', 'blend', 'sweater', 'stretch-kissed', 'blend', 'italian', 'yarn', 'elevates', 'staple', 'sweater', 'done', 'versatile', 'longer', 'length', 'finished', 'side', 'slit', 'easy', 'movement', 'Vince']",01E606XT174HZ28F1MYRN5VTRC,occasion,daytonight,0,1,0,0,0,0,0
6556,48519,56240,01E606WQQW3W31B1YQVMCEMQTF,"['olive', 'puff', 'pleated', 'sleeve', 'cotton', 'midi', 'dress', 'sheer', 'delicately', 'pleated', 'balloon', 'sleeve', 'trimmed', 'ruffle', 'accentuate', 'easy', 'cotton', 'poplin', 'midi', 'dress', 'flowy', 'drop-waist', 'silhouette', 'Sea']",01E606WQRFP1QZJ11MDZ01845M,occasion,vacation,0,0,0,1,0,0,0
8256,60573,70667,01E606TX1A1NE6D6QS2G6XGVNX,"['ruffle', 'puff', 'sleeve', 'merino', 'wool', 'sweater', 'white', 'stripe-trimmed', 'ruffle', 'add', 'playful', 'squiggled', 'accent', 'puff', 'sleeve', 'navy', 'sweater', 'made', 'ribbed', 'superfine', 'merino', 'wool', 'Frame']",01E606TX1WA8V7B8V42AA9YQT8,occasion,daytonight,0,1,0,0,0,0,0
10941,76767,90147,01E606TEA5N45P2KBMVRKT6VZ6,"['insider', 'high', 'waist', 'crop', 'step', 'fray', 'jean', 'go-to', 'white-wash', 'jean', 'updated', 'high', 'waist', 'cutoff', 'step', 'hem', 'fresh', 'look', 'flaunt', 'footwear', 'Mother']",01E606TEAR4GRM6VHM4F7P9J7K,occasion,vacation,0,0,0,1,0,0,0
8657,63230,74029,01E606T9J1PFPHXTJGVC339NDQ,"['leopard', 'print', 'mesh', 'long', 'sleeve', 'dress', 'fierce', 'spot', 'inject', 'even', 'attitude', 'curve-hugging', 'mesh', 'dress', 'ruched', 'throughout', 'flattering', 'fit', 'Ganni']",01E606T9JTZNP35JWDR507W3QT,occasion,nightout,0,0,1,0,0,0,0
8258,60592,70691,01E606T4T2HH0F29PMX8RT2ZFJ,"['le', 'scoop', 'organic', 'cotton', 'top', 'staple', 'piece', 'worn', 'often', 'choose', 'wisely', 'wear-everywhere', 't-shirt', 'styled', 'graceful', 'scooped', 'neck', 'made', 'organic', 'pima', 'cotton', 'Frame']",01E606T4TK5BVGTQACM8DH40XT,occasion,weekend,0,0,0,0,1,0,0
11852,82876,97833,01E606R02TND6B512Q0QM9AW3N,"['grommet', 'leather', 'belt', 'large', 'polished', 'grommet', 'set', 'glossy', 'leather', 'belt', 'allow', 'find', 'perfect', 'fit', 'Allsaints']",01E606R03BV1M8T3XJP396ZZC4,occasion,daytonight,0,1,0,0,0,0,0
14731,102298,121115,01E606Q2SK4WSQ4ANQ9KZRKQCW,"['small', 'leather', 'tote', 'scaled-down', 'version', 'mansur', 'gavriel', 'cult-status', 'tote', 'crafted', 'vegetable-tanned', 'italian', 'leather', 'wear', 'uniquely', 'time', 'Mansur', 'Gavriel']",01E606Q6FHVKBDT0PKX5HJYCJ0,occasion,weekend,0,0,0,0,1,0,0
14685,101995,120721,01E606PY31WK6TPGFGN6EKJW1Q,"['natalia', 'metallic', 'shibori', 'long', 'sleeve', 'silk', 'blend', 'dress', 'metallic', 'fleck', 'illuminate', 'earthy', 'shibori-dyed', 'pattern', 'fluttery', 'ruffled', 'minidress', 'Ulla', 'Johnson']",01E606PY3N4QH8J1G1RWW9SNF4,occasion,daytonight,0,1,0,0,0,0,0
9773,70108,82107,01E606P5NW21AA5JX9W31CQBDM,"['essential', 'long', 'sleeve', 'pima', 'cotton', 'tee', 'made', 'supremely', 'soft', 'pure', 'pima', 'cotton', 'cut', 'just-right', 'relaxed', 'fit', 'wonder', 'wear-everywhere', 'crewneck', 'called', 'essential', 'Vince']",01E606PD0CDNR5H85FEHQF3TMV,occasion,daytonight,0,1,0,0,0,0,0
13555,94116,111449,01E606MYE0S8EGFRDF6JT79ZY7,"['mcgraw', 'floral', 'camera', 'bag', 'leather', 'camera-style', 'bag', 'chain-detailed', 'crossbody', 'strap', 'turned', 'statement', 'maker', 'tory', 'lavishly', 'colored', 'floral', 'pattern', 'Tory', 'Burch']",01E606MYEKVH5D6B5PE9HC2K1Z,occasion,daytonight,0,1,0,0,0,0,0
10172,72211,84636,01E606KJS1CGPN1QADPAN9KJRN,"['maro', 'toe', 'loop', 'sandal', 'minimalist', 'modern', 'masterfully', 'crafted', 'sandal', 'live', 'season', 'styled', 'toe', 'loop', 'gently', 'lifted', 'cylindrical', 'heel', 'Vince']",01E606KJVJN93W4KFAZA94DVHP,occasion,daytonight,0,1,0,0,0,0,0
10888,76378,89621,01E606HQS50FZF40JZD9GDKRQ5,"['toothpick', 'jean', 'lean', 'cropped', 'little', 'bit', 'sexy', 'crew', 'skinniest', 'style', 'cut', 'high-tech', 'turkish', 'stretch', 'cotton', 'super-flattering', 'fit', 'J.Crew']",01E606HQSPGDY1JZAAZSS4H89W,occasion,weekend,0,0,0,0,1,0,0
6634,49062,56882,01E606GTD9481VCX6T9RCYHJP1,"['lucy', 'ruffle', 'cotton', 'top', 'double-edged', 'frill', 'form', 'flutter', 'sleeve', 'gauzy', 'cotton', 'top', 'gathered', 'ruffle', 'neck', 'secured', 'shining', 'button', 'keyhole', 'back', 'Sea']",01E606GTDT7QS04HC3VNYKET6N,occasion,daytonight,0,1,0,0,0,0,0
13550,94082,111408,01E606GBV7SSP3TN5PH119AFPD,"['floral', 'cotton', 'polo', 'classic', 'cotton', 'polo', 'change', 'game', 'delicate', 'florals', 'arranged', 'front', 'tumbling', 'sleeve', 'Tory', 'Burch']",01E606GBVRNGAKZRS5YXST3GHE,occasion,daytonight,0,1,0,0,0,0,0
10887,76359,89595,01E606ENXVQV0VHZKPD0MQR8Y0,"['zip-up', 'stripe', 'cotton', 'terry', 'hoodie', 'collection', 'comfy', 'low-key', 'piece', 'made', 'spirit', 'saturday', 'morning', 'mind', 'cotton', 'terry', 'hoodie', 'worn-forever', 'feel', 'get-go', 'J.Crew']",01E606ENYERKA92JWN6QQM5SD8,occasion,daytonight,0,1,0,0,0,0,0
6385,47400,54949,01E606EHC3TQEXWVXPSSN9XY8E,"['v-wrap', 'knit', 'top', 'silk-enhanced', 'ribbed', 'knit', 'make', 'cleverly', 'crafted', 'top', 'comfortable', 'chic', 'easy', 'way', 'stylishly', 'top', 'après-workout', 'look', 'Live', 'The', 'Process']",01E606EHCNQ8XPWKMVYJDKQNKB,occasion,workout,0,0,0,0,0,0,1
10176,72238,84673,01E606ECJ368BHVJQCDXTR5R7K,"['drapey', 'boyfriend', 'blazer', 'sheen', 'finish', 'decidedly', 'drapey', 'silhouette', 'one-button', 'blazer', 'casually', 'elegant', 'staple', 'want', 'wear', 'everywhere', 'Vince']",01E606ECJNTSNFH4HJCVMD408D,occasion,weekend,0,0,0,0,1,0,0
11273,78962,92895,01E606CQGVQW8DT22Q4WZ1CPDN,"['marcella', 'velvet', 'bodysuit', 'plush', 'black', 'velvet', 'bodysuit', 'perfectly', 'drape', 'across', 'figure', 'elegant', 'look', 'day', 'night', ""L'Agence""]",01E606CQKVYQ68EN2MW8TWYNWQ,occasion,nightout,0,0,1,0,0,0,0
15018,104038,123325,01E606C7SRDEHGS8XZT4ZCNN6Y,"['alexa', 'high', 'waist', 'crop', 'wide', 'leg', 'jean', 'cropped', 'wide-leg', 'jean', 'high', 'waist', 'combine', 'retro', 'vibe', 'comfort', 'modern', 'stretch', 'denim', '7', 'For', 'All', 'Mankind®']",01E606C7TA17VMJ0CB3XS1CBMG,occasion,weekend,0,0,0,0,1,0,0
10933,76697,90050,01E606BY0M7TNPFK265QDGC3RC,"['looker', 'high', 'waist', 'frayed', 'ankle', 'skinny', 'jean', 'cut', 'frayed', 'cropped', 'hem', 'streamlined', 'skinny', 'offer', 'sophisticated', 'take', 'rough-and', 'tumble', 'denim', 'trend', 'Mother']",01E606BY17MH5JGY6JFJP7ZHCZ,occasion,work,0,0,0,0,0,1,0
6348,47152,54669,01E606BS8CB7WMQMHK4TCNRFJ5,"['vineyard', 'sandal', 'round', 'buckle', 'look', 'like', 'shaped', 'bamboo', 'brings', 'tropical', 'finish', 'crisscross', 'sandal', 'set', 'towering', 'sculpted', 'heel', 'Charles', 'David']",01E606C4WDRYP5SG7AST8J22FJ,occasion,nightout,0,0,1,0,0,0,0
14631,101614,120207,01E606BFEM7AG619ERCY9Q7XRB,"['jennifer', 'studded', 'combat', 'boot', 'flat-headed', 'stud', 'roped', 'ball', 'bearing', 'trace', 'contour', 'pebbled', 'combat', 'boot', 'set', 'lugged', 'sole', 'cinched', 'shaft', 'two-buckle', 'cuff', 'Sam', 'Edelman']",01E606BFF6YXNCPWK7GN1HAZ3Z,occasion,weekend,0,0,0,0,1,0,0
14687,102012,120746,01E606AVX7BRGY0PJDHK7HVG2A,"['greer', 'wide', 'leg', 'jean', 'roomy', 'pocket', 'robust', 'seam', 'give', 'wide-leg', 'jean', 'distinctly', 'utilitarian', 'feel', 'Ulla', 'Johnson']",01E606AVYKH479C7XC9FR6EZKH,occasion,daytonight,0,1,0,0,0,0,0
5979,44496,51543,01E606A8ARCBXW8W94DJKKNQ0D,"['side', 'twist', 'tank', 'dress', 'soft', 'sophistication', 'name', 'game', 'sleeveless', 'twist-front', 'frock', 'crafted', 'supima', 'cotton', 'Stateside']",01E606A8BB55BHS093GQGT3Y5Z,occasion,weekend,0,0,0,0,1,0,0
15064,104336,123762,01E6069G6TMJB17AHD5JSDTKP4,"['rocket', 'ankle', 'skinny', 'jean', 'fitted', 'throughout', 'versatile', 'skinny', 'jean', 'create', 'polished', 'look', 'dark-ink', 'wash', 'easily', 'transition', 'weekday', 'weekend', 'styling', 'Citizens', 'Of', 'Humanity']",01E6069G7BEYR37C6HCPC35BY4,occasion,weekend,0,0,0,0,1,0,0
6562,48552,56282,01E6068JSZRQXT7VDQB1N7DZZN,"['simone', 'snake', 'embossed', 'puff', 'sleeve', 'minidress', 'trend-savvy', 'snake-embossing', 'add', 'fierce', 'bite', 'burgundy', 'minidress', 'sweet', 'puffed', 'sleeve', 'pert', 'ruffle', 'shoulder', 'Sea']",01E6068JTH9FFX4CFQTYT5J7M2,occasion,nightout,0,0,1,0,0,0,0
8654,63203,73997,01E60676H83RMEDYGH4VR144ND,"['washed', 'denim', 'strapless', 'peplum', 'top', 'classic', 'tube', 'top', 'reimagined', 'faded', 'nonstretch', 'denim', 'sparkly', 'jeweled', 'button', 'form-fitting', 'cropped', 'silhouette', 'flare', 'pretty', 'peplum', 'Ganni']",01E60676JG4H6T02MPW37MC8BV,occasion,nightout,0,0,1,0,0,0,0
13559,94143,111487,01E60671M89T17R583RZEW83VW,"['colorblock', 'long', 'sleeve', 'wrap', 'dress', 'stand', 'party', 'season', 'flower', 'frill', 'satin', 'wrap', 'dress', 'blocked', 'luscious', 'high-intensity', 'hue', 'detailed', 'trapunto', 'stitching', 'Tory', 'Burch']",01E60671MTTTRGNSANFJDB5C2F,occasion,weekend,0,0,0,0,1,0,0
8275,60685,70811,01E6066WQGBEGSKT0BR1YWHB46,"['le', 'garcon', 'slim', 'boyfriend', 'jean', 'sharp', 'tailoring', 'creates', 'modern', 'look', 'ankle-grazing', 'jean', 'combine', 'london-derived', 'style', 'premium', 'la-produced', 'denim', 'Frame']",01E6066WR4RC3HH3Y47K66MFR1,occasion,weekend,0,0,0,0,1,0,0
8661,63250,74052,01E6066E5FNNJ0WH34406A9NB7,"['long', 'sleeve', 'check', 'seersucker', 'wrap', 'dress', 'puffy', 'balloon', 'sleeve', 'play', 'country-meets', 'city', 'charm', 'wrap', 'dress', 'made', 'lightweight', 'cotton-blend', 'seersucker', 'Ganni']",01E6066E62R4VSAJJJ3GV62E50,occasion,weekend,0,0,0,0,1,0,0
10160,72118,84525,01E60637M6X6YHTZR74D1TA1VP,"['insulated', 'jacket', 'lightweight', 'layer', 'insulation', 'add', 'chilly-weather', 'utility', 'button-front', 'jacket', 'poised', 'addition', 'ensemble', 'Vince']",01E60637MTQJN19TFB6SAMPXZ8,occasion,daytonight,0,1,0,0,0,0,0
6631,49044,56862,01E6062M6P01XR30FAP1NZBH13,"['alessandra', 'crop', 'bustier', 'linen', 'blend', 'top', 'cropped', 'bustier', 'top', 'tailored', 'look', 'brings', 'tropical', 'vacay', 'vibe', 'thanks', 'italian', 'stretch-linen', 'blend', 'cool', 'off-white', 'hue', 'A.L.C.']",01E6062M9DRV5D3RASZPAXTDRB,occasion,weekend,0,0,0,0,1,0,0
10913,76551,89845,01E6062F0BZBTN9YVYCVDKKM05,"['dazzler', 'high', 'waist', 'yoke', 'front', 'ankle', 'jean', 'switch', 'thing', 'denim', 'day', 'ankle-grazing', 'jean', 'designed', 'flattering', 'yoked', 'front', 'Mother']",01E6062F10STCQ2SPDJXEPCHGJ,occasion,daytonight,0,1,0,0,0,0,0
14609,101461,120035,01E60625QT93EPV3EBE2EPHCJC,"['bay', 'strappy', 'scarf', 'knot', 'slide', 'sandal', 'scarf-like', 'knotted', 'accent', 'strappy', 'vamp', 'enhances', 'fun', 'leisurely', 'vibe', 'topstitched', 'leather', 'sandal', 'Sam', 'Edelman']",01E6062SF1MZZCHF1YGXNYFGZV,occasion,vacation,0,0,0,1,0,0,0
14710,102164,120950,01E6061HTGNYMWSQS1PD9M62EH,"['simone', 'puff', 'sleeve', 'eyelet', 'shift', 'dress', 'breezy', 'white-eyelet', 'shift', 'dress', 'look', 'even', 'fresher', 'pronounced', 'cutout', 'pattern', 'accenting', 'neckline', 'scalloped', 'hem', 'puffed', 'sleeve', 'Ulla', 'Johnson']",01E6061HX2TGYWH19BB113MQXD,occasion,vacation,0,0,0,1,0,0,0
8650,63178,73970,01E6061CYK090DFQ0VMYB5BYGT,"['lightweight', 'jersey', 'turtleneck', 'exposed', 'seam', 'give', 'inside-out', 'look', 'essential', 'longline', 'turtleneck', 'cut', 'lightweight', 'jersey', 'branded', 'embroidered', 'logo', 'Ganni']",01E6061D14AV721HXFJPFYSQMP,occasion,work,0,0,0,0,0,1,0
11052,77482,91040,01E606181VFGABTKSYBMCRSHRF,"['tenia', 'cotton', 'blend', 'blouse', 'crisp', 'spread', 'collar', 'smooth', 'french', 'placket', 'bring', 'polished', 'sophistication', 'versatile', 'blouse', 'cut', 'pristine', 'stretch-cotton', 'blend', 'Theory']",01E606182F82RF5VRCBMM3B954,occasion,work,0,0,0,0,0,1,0
6278,46635,54047,01E6060SD4D3D6MP15A66AY86E,"['este', 'bootie', 'sure', 'reach', 'wardrobe-staple', 'status', 'square-toe', 'bootie', 'handmade', 'italian', 'leather', 'streamlined', 'design', 'low', 'covered', 'heel', 'By', 'Far']",01E6060SG79KXSJD9FDPFMQ6BM,occasion,daytonight,0,1,0,0,0,0,0
11050,77472,91027,01E6060AVDQDPGNQVBB2QP5PWW,"['floral', 'print', 'silk', 'top', 'abstract', 'floral', 'print', 'blossom', 'silky', 'balloon-sleeve', 'top', 'elevates', 'everyday', 'style', 'Theory']",01E6060AW0C866PV2XR4EM5QM9,occasion,daytonight,0,1,0,0,0,0,0
6642,49119,56960,01E605XX418CR95FK4628DPZ2F,"['crop', 'knit', 'hoodie', 'elevate', 'warm-up', 'cooldown', 'comfy', 'cropped', 'hoodie', 'designed', 'neck-warming', 'stand', 'collar', 'hand-warming', 'pocket', 'Live', 'The', 'Process']",01E605XX4KSN0D4V6059NQXCM8,occasion,weekend,0,0,0,0,1,0,0
6624,48995,56802,01E605X8X71G47A82F46NJDB78,"['west', 'puff', 'sleeve', 'top', 'inverted', 'pleat', 'add', 'extra', 'fullness', 'puffed', 'sleeve', 'make', 'easy-to', 'wear', 'top', 'head-turner', 'A.L.C.']",01E605X8ZT73E3TEFXPP8MV6K5,occasion,daytonight,0,1,0,0,0,0,0
14966,103650,122753,01E605W1WB79DBQXXKX5FNB51H,"['twenty', 'ruched', 'sleeve', 'satin', 'blouse', 'showy', 'sleeve', 'bring', 'glorious', 'charm', 'satin', 'top', 'feel', 'fancy', 'fun', 'depending', 'style', 'Zadig', '&', 'Voltaire']",01E605W1WXHPKDWRSGX9AJPGMZ,occasion,daytonight,0,1,0,0,0,0,0
6142,45697,52953,01E605VK67ZSHYCCH68XAKE5QX,"['floral', 'crop', 'pant', 'drawstring', 'waist', 'cropped', 'silhouette', 'bring', 'relaxed', 'lounge-inspired', 'attitude', 'pant', 'slight', 'sheen', 'tonal', 'floral', 'pattern', 'silky', 'feel', 'Raquel', 'Allegra']",01E605VK6TY230WRCJJ5PXM2Z9,occasion,vacation,0,0,0,1,0,0,0
14246,98984,117095,01E605V9DS41A82YRVHYP8CE2P,"['chaos', 'boot', 'crackle', 'finish', 'brings', 'glam', 'update', 'beloved', 'boot', 'still', 'retains', 'tough', 'punky', 'character', 'iconic', 'translucent', 'sole', 'Dr.', 'Martens']",01E605V9EDEGRDNKWKVQKQKF0R,occasion,daytonight,0,1,0,0,0,0,0
11898,83147,98151,01E605T79S6FWPJJB8H1YDMHXP,"['rosemary', 'square', 'leather', 'crossbody', 'bag', 'minimalist', 'styling', 'enhances', 'everyday', 'appeal', 'boxy', 'crossbody', 'bag', 'handmade', 'smooth', 'lambskin', 'leather', 'resists', 'scuff', 'scratch', 'Allsaints']",01E605T7ACMA0AVZF2P5KDTDXG,occasion,daytonight,0,1,0,0,0,0,0
10885,76342,89576,01E605SX9BJ65CV5E60BM552D8,"['cameron', 'paint', 'embroidered', 'satin', 'chino', 'ultimate', 'month', 'a-year', 'seven-days', 'a-week', 'pant', 'supercute', 'floral', 'embroidery', 'sleek', 'sateen', 'chino', 'fabrication', 'J.Crew']",01E605SX9WJ7J3MTTFRJZM2FH6,occasion,work,0,0,0,0,0,1,0
6282,46667,54082,01E605RP9T2DXH3HSXY4322V90,"['genuine', 'calf', 'hair', 'ankle', 'boot', 'notched', 'side', 'update', 'striking', 'ankle', 'boot', 'done', 'wildly', 'patterned', 'genuine', 'calf', 'hair', 'Intentionally', 'Blank']",01E605RPAD4FKTASWVSMZZEAW8,occasion,weekend,0,0,0,0,1,0,0
8232,60443,70496,01E605PQ404C8KH8Y41HCQPXM9,"['le', 'high', 'waist', 'sateen', 'skinny', 'jean', 'velvety', 'smooth', 'japanese', 'sateen', 'make', 'feel', 'extra', 'luxe', 'sleek', 'skinny', 'jean', 'styled', 'high', 'waist', 'ankle-cut', 'hem', 'Frame']",01E605PQ4NXJM892JKH0Y5T231,occasion,daytonight,0,1,0,0,0,0,0
15022,104064,123363,01E605NFJJ667X5MZVKG5XTYX4,"['rocket', 'ankle', 'skinny', 'jean', 'fitted', 'throughout', 'versatile', 'skinny', 'jean', 'create', 'sophisticated', 'look', 'dark', 'wash', 'easily', 'transition', 'weekday', 'weekend', 'styling', 'Citizens', 'Of', 'Humanity']",01E605NFK5P61GFP6KJ5GE6J0R,occasion,daytonight,0,1,0,0,0,0,0
14240,98936,117039,01E605N11A9X2GK8K9H74Y139F,"['voss', 'slingback', 'platform', 'sandal', 'signature', 'brand', 'detail', 'like', 'gold', 'welt', 'stitching', 'grooved', 'tread', 'lift', 'buckle-strap', 'slide', 'sandal', 'make', 'edgy', 'contrast', 'lightweight', 'ensemble', 'Dr.', 'Martens']",01E605N41KR7YXZD01RHV8HDK8,occasion,daytonight,0,1,0,0,0,0,0
10170,72186,84607,01E605KGCR10CFANSZBFNQZGJS,"['crinkle', 'top', 'unstructured', 'cut', 'casually', 'crinkled', 'japanese', 'fabric', 'top', 'wear', 'elegant', 'ease', 'style', 'agenda', 'Vince']",01E605KQ24PDKJ3B0EXX8YN6V7,occasion,weekend,0,0,0,0,1,0,0
6640,49100,56936,01E605K6CHYZE3N2NX551JB4KX,"['brandon', 'ribbed', 'top', 'form-fitting', 'ribbed', 'texture', 'make', 'top', 'sleek', 'scoop', 'neck', 'three-quarter', 'sleeve', 'pale', 'lilac', 'hue', 'keep', 'look', 'cool', 'A.L.C.']",01E605K6D38ARQFEVPA7FZJQZ6,occasion,weekend,0,0,0,0,1,0,0
11054,77499,91058,01E605J94SRQAYFGSQ5Z0AHVKC,"['fitted', 'tweed', 'shell', 'cotton-rich', 'tweed', 'shell', 'sculpted', 'modern', 'seam', 'raw-edge', 'detail', 'black-and', 'white', 'option', 'want', 'work-to', 'weekend', 'look', 'Theory']",01E605J95CCJZ4M976QWKGC9M6,occasion,work,0,0,0,0,0,1,0
14536,100973,119463,01E605HYYBJFE2HKMX4TZPQGBH,"['lace', 'sheath', 'dress', 'modern', 'take', 'traditional', 'lace', 'svelte', 'sheath', 'covered', 'combination', 'scalloped', 'bloom', 'circular', 'inset', 'show', 'glimpse', 'skin', 'Sam', 'Edelman']",01E605HYZS5DYD4GWAYTPTNRA3,occasion,weekend,0,0,0,0,1,0,0
5981,44514,51569,01E605HN394TKXN18F4PF77MFM,"['denim', 'trouser', 'trouser-cut', 'ankle', 'leg', 'unadulterated', 'medium-blue', 'wash', 'polish', 'laid-back', 'jean', 'cut', 'nonstretch', 'all-cotton', 'denim', 'Simon', 'Miller']",01E605HN3W9D1HSDCXJKHEMQC2,occasion,weekend,0,0,0,0,1,0,0
14998,103885,123096,01E605HHA06T5H18YCRZW8PYDH,"['high', 'waist', 'ankle', 'skinny', 'jean', 'get', 'best', 'world', 'high-rise', 'skinny', 'made', 'comfortable', 'italian', 'denim', 'offer', 'vintage', 'look', 'modern', 'stretch', 'technology', '7', 'For', 'All', 'Mankind®']",01E605HHAJQV1RAVXBXNR8B14Z,occasion,daytonight,0,1,0,0,0,0,0
