,key_0,Unnamed: 0,product_id,final_list,product_color_id,attribute_name,attribute_value,buckles,embroidery,fringe,lace,mesh,ruffles,sequins,studs,trim
160,41326,47834,01DVS1F4V223Y662VKYJQSWK1C,"['organza', 'magani', 'mule', 'saptodjojokartiko', 'organza', 'mule', 'feature', 'major', 'bow', 'embellishment', 'cut', 'detail', 'embroidered', 'print', 'throughout', 'wear', 'day', 'jean', 'tee', 'complete', 'desired', 'look', 'woman', 'shoe', 'mule', 'Sapto', 'Djojokartiko']",01DVS1FGN46Z1X58N1XH0E51X1,embellishment,mesh,0,0,0,0,1,0,0,0,0
176,41633,48198,01DVS1BSSVTBEPS1NJP64JXRD8,"['leopold', 'tinsel', 'baby', 'doll', 'blouse', 'woman', 'clothing', 'top', 'Ulla', 'Johnson']",01DVS1BSWPPPDZATX1GQQ920FM,embellishment,ruffles,0,0,0,0,0,1,0,0,0
146,40880,47309,01DVRYJHEHWV94XKY2F9HFE601,"['rosalie', 'tiered', 'cotton-silk', 'blend', 'dress', 'ulla', 'johnson', 'rosaline', 'cotton', 'silk', 'dress', 'designed', 'statement', 'ruffle', 'sleeveless', 'silhouette', 'pair', 'dress', 'ruched', 'top', 'layered', 'look', 'woman', 'clothing', 'dress', 'Ulla', 'Johnson']",01DVRYJHEXNM9NYAF6BD8CADQE,embellishment,ruffles,0,0,0,0,0,1,0,0,0
144,40221,46543,01DVRHGPQWPVAKN18RCN5S5JX8,"['sequined', 'mini', 'dress', 'rotate', 'sequined', 'mini', 'dress', 'designed', 'slim', 'strap', 'silhouette', 'v-neckline', 'sequin', 'pattern', 'creates', 'floral-like', 'detail', 'woman', 'clothing', 'dress', 'Rotate']",01DVRHGPR856KGGS7R1F61XHEK,embellishment,sequins,0,0,0,0,0,0,1,0,0
142,40093,46391,01DVPP9NXSN9481M2NVVK2RKFF,"['marwa', 'ruffled', 'polka-dot', 'cotton-blend', 'tulle', 'midi', 'dress', 'black', 'white', 'cotton-blend', 'tulle', 'concealed', 'hook', 'zip', 'fastening', 'back', 'fabric', 'cotton', 'spandex', 'fabric', 'polyester', 'lining', 'cotton', 'dry', 'clean', 'imported', 'clothing', 'dress', 'midi', 'Staud']",01DVPP9NY3CZXDZB7ZQH5P48C1,embellishment,mesh,0,0,0,0,1,0,0,0,0
172,41484,48020,01DVCPSZPVTNH3333A9A0FQHJQ,"['oversized', 'draped', 'silk', 'blouse', 'self', 'tie', 'neckline', 'derek', 'lam', 'oversized', 'silk', 'blouse', 'designed', 'self', 'tie', 'scarf', 'neck', 'long', 'cuffed', 'sleeve', 'high-low', 'hemline', 'woman', 'clothing', 'top', 'Derek', 'Lam']",01DVCPSZSGFRRF7A5MEG5TCFPV,embellishment,ruffles,0,0,0,0,0,1,0,0,0
48,8648,10045,01DVA5EJHRB1JJFSMW8WCZEE9X,"['pacos', 'fringe-trimmed', 'wool', 'coat', 'cut', 'soft', 'camel', 'wool', 'max', 'mara', 'chic', 'pacos', 'coat', 'designed', 'broad', 'fringe-trimmed', 'lapel', 'cinch', 'waist', 'self-tie', 'belt', 'keep', 'phone', 'handy', 'one', 'exaggerated', 'patch', 'pocket', 'front', 'woman', 'clothing', 'coat', 'Max', 'Mara']",01DVA5EJJ08WCBR5YWC6SRJX1E,embellishment,fringe,0,0,1,0,0,0,0,0,0
42,8421,9777,01DVA54THCXNRKYC0YVMWGYPJ5,"['lace-paneled', 'velvet', 'mini', 'dress', 'designed', 'sleeveless', 'lace', 'bodice', 'givenchy', 'dress', 'crafted', 'velvet', 'mini', 'silhouette', 'taper', 'a-line', 'skirt', 'pairing', 'wide', 'leather', 'waist', 'belt', 'woman', 'clothing', 'dress', 'Givenchy']",01DVA54THNEYBBJ6BB30TJ4441,embellishment,mesh,0,0,0,0,1,0,0,0,0
38,8122,9438,01DVA4Y85Y5VZTKZNVEKCTDJXQ,"['harper', 'cotton', 'eyelet', 'blouse', 'ulla', 'johnson', 'love', 'vintage', 'inspiration', 'cotton', 'eyelet', 'certainly', 'brings', 'best', 'past', 'decade', 'mind', 'designer', 'used', 'breathable', 'semi-sheer', 'material', 'create', 'harper', 'blouse', 'ruffle', 'trim', 'along', 'neck', 'full', 'blouson', 'sleeve', 'style', 'classic', 'trouser', 'fun', 'gold', 'jewelry', 'woman', 'clothing', 'top', 'Ulla', 'Johnson']",01DVA4Y8635RNSA9H9T8MFC34J,embellishment,embroidery,0,1,0,0,0,0,0,0,0
34,7866,9138,01DV95YGM68M98H72472KMTVHY,"['exclusive', 'rav', 'lace', 'mule', 'romantic', 'version', 'brand', 'staple', 'style', 'jimmy', 'choo', 'rav', 'mule', 'made', 'sheer', 'floral', 'lace', 'extends', 'pointed', 'toe', 'even', 'cover', 'tall', 'stiletto', 'heel', 'match', 'pair', 'frilly', 'lace', 'dress', 'cohesive', 'look', 'woman', 'shoe', 'mule', 'Jimmy', 'Choo']",01DV95YQA331GAD9BTD7SHMQ1X,embellishment,lace,0,0,0,1,0,0,0,0,0
116,29072,33710,01DV6M9BHK039WP9730M31DEPA,"['fringed', 'wool', 'silk', 'cashmere-blend', 'jacquard', 'cardigan', 'beige', 'wool', 'silk', 'cashmere-blend', 'slip', 'wool', 'silk', 'cashmere', 'dry', 'clean', 'made', 'italy', 'clothing', 'knitwear', 'heavy', 'knit', 'Alanui']",01DV6M9BHZT8M4WP1634CXDD2M,embellishment,fringe,0,0,1,0,0,0,0,0,0
178,44293,51299,01DV6M2FXMPW9RSZWSXW1EK75W,"['cropped', 'crochet-trimmed', 'georgette', 'top', 'cream', 'georgette', 'tie', 'neck', 'concealed', 'hook', 'fastening', 'back', 'polyester', 'hand', 'wash', 'made', 'italy', 'clothing', 'top', 'blouse', 'Philosophy', 'Di', 'Lorenzo', 'Serafini']",01DV6M2FXY8VNE8C86Q5QHFS46,embellishment,embroidery,0,1,0,0,0,0,0,0,0
28,7184,8342,01DV4G5FF75M2R6EHJAB8EW6Z9,"['freja', 'belted', 'paisley-print', 'linen', 'halterneck', 'midi', 'dress', 'zimmermann', 'fraja', 'maxi', 'dress', 'cut', 'airy', 'linen', 'fabric', 'artfully', 'printed', 'vintage-inspired', 'paisley', 'motif', 'flattering', 'halterneck', 'neckline', 'tie-fastening', 'sash', 'temper', 'asymmetric', 'handkerchief', 'hem', 'style', 'strappy', 'sandal', 'raffia', 'clutch', 'woman', 'clothing', 'dress', 'Zimmermann']",01DV4G5FFGBV3VDZPSYMPHZXPK,embellishment,fringe,0,0,1,0,0,0,0,0,0
24,6894,8002,01DTMYX49S7AAXVRBQ95K0E87T,"['galativi', 'mesh', 'suede', 'pump', 'delicate', 'mesh', 'adorns', 'suede', 'point-toe', 'pump', 'shoe', 'bestseller', 'shoe', 'shoe', 'pumpsslingbacks', 'pointtoe', 'shoe', 'shoe', 'pumpsslingbacks', 'pumpsstilettos', 'Christian', 'Louboutin']",01DTMYX4A4GQWWRF7JGYRHPCZE,embellishment,mesh,0,0,0,0,1,0,0,0,0
120,30340,35142,01DTJCDP8032ADG8CM387P7JYV,"['violeta', 'embroidered', 'cotton-voile', 'midi', 'dress', 'anaak', 'violeta', 'midi', 'dress', 'cut', 'airy', 'cotton-voile', 'artfully', 'embroidered', 'contrasting', 'topstitches', 'fully', 'lined', 'coverage', 'designed', 'delicate', 'shoulder', 'strap', 'v-neckline', 'keep', 'styling', 'simple', 'pair', 'leather', 'slide', 'woman', 'clothing', 'dress', 'Anaak']",01DTJCDP88C6DX239SNMJW9EZ0,embellishment,embroidery,0,1,0,0,0,0,0,0,0
22,5087,5905,01DTJ8DDAG7F7XX0BBAC8AK3YD,"['theron', 'tweed', 'jacket', 'tweed', 'jacket', 'may', 'suiting', 'classic', 'texture', 'also', 'cut', 'loose', 'case', 'point', 'frayed', 'edge', 'silver', 'hardware', 'angular', 'lapel', 'blue-and', 'white', 'blazer', 'wear', 'pencil', 'skirt', 'paper-bag', 'pant', 'outfit', 'need', 'refined', 'edge', 'cotton', 'polyester', 'viscose', 'elastanedry', 'clean', 'onlymade', 'usamodel', 'bust', 'waist', 'hip', 'wearing', 'size', 'jacket', 'coat', 'Veronica', 'Beard']",01DTJ8DDAYN9MYHKA96YYZM6PP,embellishment,trim,0,0,0,0,0,0,0,0,1
18,4400,5106,01DTATGG2XJ7QTQC6A4PHQRYW5,"['calixte', 'pussy-bow', 'chiffon', 'top', 'alexis', 'calixte', 'top', 'vintage', 'feel', 'somehow', 'beautifully', 'suit', 'modern', 'wardrobe', 'made', 'smoky', 'black', 'chiffon', 'white', 'dotted', 'motif', 'sport', 'feminine', 'pussy-bow', 'neck', 'tie', 'drape', 'past', 'waist', 'cropped', 'sleeve', 'consider', 'tucking', 'pair', 'high-waisted', 'trouser', 'create', 'defined', 'shape', 'woman', 'clothing', 'top', 'Alexis']",01DTATGG356E9CF3V4TWB705BC,embellishment,ruffles,0,0,0,0,0,1,0,0,0
174,41570,48124,01DTATG1JWQNB8FTQY3AW5D61P,"['tiered', 'floral-print', 'cotton-blend', 'maxi', 'dress', 'zimmermann', 'resort', 'collection', 'designed', 'penchant', 'past', 'color', 'print', 'directly', 'inspired', 'founder', 'creative', 'director', 'childhood', 'crafted', 'airy', 'cotton', 'silk-blend', 'skirt', 'designed', 'late', 's-inspired', 'floral-motif', 'single', 'tier', 'ruffled', 'neckline', 'woman', 'clothing', 'dress', 'Zimmermann']",01DTATG1K46TF4QEPWAF0TA9W1,embellishment,ruffles,0,0,0,0,0,1,0,0,0
154,40975,47422,01DTATF91FKBX2RW9K53JD1DQ9,"['sleeveless', 'midi', 'dress', 'woman', 'clothing', 'dress', 'Ganni']",01DTATF91QZH744FEKQW5Z364E,embellishment,ruffles,0,0,0,0,0,1,0,0,0
156,41069,47533,01DTATCE55BNV1165ZD99NCNNP,"['fawn', 'tiered', 'ruffle', 'cotton', 'mini', 'dress', 'woman', 'clothing', 'dress', 'Ulla', 'Johnson']",01DTATCMD0DTGRRPHFD1T99R4D,embellishment,ruffles,0,0,0,0,0,1,0,0,0
140,36493,42194,01DT50YWHZWGVP13464WFHJK3F,"['swiss-dot', 'mesh', 'leather', 'mule', 'heel', 'measure', 'approximately', 'mm', 'inch', 'beige', 'leather', 'white', 'black', 'swiss-dot', 'mesh', 'slip', 'imported', 'shoe', 'pump', 'mid', 'heel', 'Salondeju']",01DT50YWJ50EMWCVJK2R0KX49V,embellishment,mesh,0,0,0,0,1,0,0,0,0
14,3588,4157,01DT37D05YHQRRGE1KKPBHAAJP,"['diana', 'crystal-embellished', 'croc-effect', 'leather', 'pump', 'far', 'slingback', 'diana', 'pump', 'sophisticated', 'former', 'princess', 'wale', 'set', 'atop', 'sculptural', 'crystal-embellished', 'heel', ""they're"", 'crafted', 'croc-embossed', 'leather', 'tapered', 'square-toe', 'let', 'peek', 'tailoring', 'straight-leg', 'jean', 'woman', 'shoe', 'pump', 'By', 'Far']",01DT37D064S3RTZ2HVMA4V8X1G,embellishment,studs,0,0,0,0,0,0,0,1,0
12,3482,4030,01DT37CW9048SBBCTQKVG8CPAZ,"['belt-printed', 'draped', 'silk', 'blouse', 'monse', 'silk', 'blouse', 'patterned', 'belt-inspired', 'print', 'throughout', 'tailored', 'fluid', 'fit', 'long-sleeve', 'silhouette', 'detailed', 'draped', 'front', 'asymmetric', 'hem', 'belt', 'detail', 'neckline', 'style', 'midi', 'skirt', 'complete', 'look', 'woman', 'clothing', 'top', 'Monse']",01DT37CW998YPFYDNGC3RR8HRN,embellishment,ruffles,0,0,0,0,0,1,0,0,0
138,34396,39808,01DT2DA9XY52F7XQH552ZJW43K,"['jamie', 'mini', 'duchesse-satin', 'croc-effect', 'leather', 'shoulder', 'bag', 'far', 'juxtaposes', 'color', 'texture', 's-inspired', 'jamie', 'mini', 'bag', 'crafted', 'duchesse-satin', 'glossy', 'croc-effect', 'leather', 'shoulder', 'strap', 'base', 'enough', 'room', 'inside', 'cardholder', 'cell', 'phone', 'sunglass', 'plenty', 'pouch', 'pocket', 'stowing', 'smaller', 'item', 'woman', 'bag', 'shoulder_bag', 'By', 'Far']",01DT2DA9Y5MMWWKYFM9XXY6H4P,embellishment,buckles,1,0,0,0,0,0,0,0,0
30,7499,8705,01DT0DKKBJZDQ078WHZHHDNG43,"['sweetheart', 'charmeuse', 'silk', 'camisole', 'core', 'collection', 'silk', 'camisole', 'lace', 'detailing', 'front', 'back', 'womensapparel', 'topsshirtsblouses', 'shortsleeve', 'womensapparel', 'topsshirtsblouses', 'tshirtstanks', 'Cami', 'Nyc']",01DT0DKKE51ADJCA8BQJ5R0ZRW,embellishment,lace,0,0,0,1,0,0,0,0,0
134,33839,39173,01DT0DKE89MPSJ8J44S5D9S9V5,"['shay', 'lace', 'trim', 'silk', 'camisole', 'saks', 'crafted', 'signature', 'silk', 'sandwash', 'charmeuse', 'shay', 'detailed', 'lace', 'delicately', 'veil', 'deep', 'v-neckline', 'hem', 'womensapparel', 'saksexclusives', 'womensapparel', 'topsshirtsblouses', 'shortsleeve', 'womensapparel', 'topsshirtsblouses', 'tshirtstanks', 'Cami', 'Nyc']",01DT0DKE8FFGG63CXE5A7SMB7K,embellishment,lace,0,0,0,1,0,0,0,0,0
136,33886,39227,01DT0DJQQ3J6EAWSPMEYCY5AYB,"['heather', 'c-chain', 'leopard-print', 'calf', 'hair', 'leather', 'sandal', 'curb', 'chain', 'trim', 'detail', 'mixed-media', 'flat', 'sandal', 'crafted', 'leopard-print', 'calf', 'hair', 'leather', 'shoe', 'shoe', 'sandal', 'flat', 'Coach']",01DT0DJQQFC32VB3HVW1AFGFZ4,embellishment,buckles,1,0,0,0,0,0,0,0,0
130,33481,38752,01DT0DJPHG2TW5DAP9CD215TJF,"['mini', 'julian', 'leather', 'backpack', 'pebbled', 'leather', 'convertible', 'bag', 'topped', 'signature', 'dog', 'clip', 'handbag', 'handbag', 'andunder', 'handbag', 'handbag', 'backpack', 'Rebecca', 'Minkoff']",01DT0DJPMDJXSYB2XHBAHZMWYA,embellishment,buckles,1,0,0,0,0,0,0,0,0
132,33556,38845,01DT0DJNHJPAH6SQ6NT94DC7ME,"['jean', 'embossed', 'leather', 'convertible', 'clutch', 'jean', 'collection', 'crossbody', 'clutch', 'convertible', 'bag', 'flaunt', 'eye-catching', 'ombr', 'alligator-embossed', 'finish', 'handbag', 'handbag', 'clutch', 'handbag', 'handbag', 'crossbodybags', 'Rebecca', 'Minkoff']",01DT0DJNJ1SN3EGKF1D2C8SPZ5,embellishment,buckles,1,0,0,0,0,0,0,0,0
128,33063,38273,01DT0DJ7KHSNKSYJ2WGAWE7DJM,"['aurora', 'emilia', 'ruched', 'metallic', 'velvet', 'dress', 'aurora', 'collection', 'giving', 'modern', 'grecian', 'vibe', 'metallic', 'velvet', 'dress', 'boast', 'draped', 'ruched', 'detail', 'alluring', 'after-dark', 'silhouette', 'womensapparel', 'dress', 'goingout', 'womensapparel', 'dress', 'cocktailparty', 'Mestiza', 'New', 'York']",01DT0DJ7KR2VFWJ9KNDFWB63E1,embellishment,ruffles,0,0,0,0,0,1,0,0,0
10,2557,2959,01DSRBC9CEBJXJFD7JGQ9E7T5B,"['girl', 'python', 'trim', 'jean', 'go-to', 'jean', 'daring', 'snakeskin-printed', 'panesl', 'side', 'justkids', 'girl', 'girl', 'bottom', 'Blank', 'Nyc']",01DSRBC9CNE3D2FY4Z7FP1V1X2,embellishment,trim,0,0,0,0,0,0,0,0,1
124,31136,36055,01DSP2PPDS647HVVN1GAA1F68Q,"['double-faced', 'wool', 'cashmere', 'shawl', 'stay', 'cozy', 'double-faced', 'shawl', 'woven', 'opulent', 'wool', 'cashmere', 'jewelryaccessories', 'accessory', 'coldweatheraccessories', 'jewelryaccessories', 'accessory', 'wrapsscarves', 'eveningwrapsstoles', 'Eileen', 'Fisher']",01DSP2PPE1RBXCBN4D0HFJCH49,embellishment,fringe,0,0,1,0,0,0,0,0,0
90,23366,27110,01DSEGAGYHP9MB9ACDZZWTMBMR,"['petite', 'fishtail', 'midi', 'sheath', 'dress', 'fresh', 'take', 'lbd', 'spaghetti-strap', 'version', 'trumpet-style', 'silhouette', 'delicate', 'sheer', 'mesh', 'accent', 'neckline', 'luxe', 'feminine', 'look', 'v-neck', 'mesh', 'accent', 'adjustable', 'slider', 'strap', 'invisible', 'zipper', 'back', 'flounce', 'hem', 'fully', 'lined', 'Banana', 'Republic']",01DSEGAH1KQDE2C1XSZAB3HT78,embellishment,mesh,0,0,0,0,1,0,0,0,0
80,22687,26313,01DSECZ36CEJ2GPN1Z9Z5WGG2P,"['leopard', 'ruffle', 'wrap', 'dress', 'cascade', 'ruffle', 'add', 'playful', 'edge', 'flirty', 'feminine', 'wrap', 'dress', 'v-neck', 'short', 'flutter', 'sleeve', 'wrap', 'waist', 'internal', 'button', 'closure', 'extra', 'secure', 'fit', 'fully', 'lined', 'ruffle', 'hem', 'unlined', 'Banana', 'Republic']",01DSECZ36JMYC2A7AYP1T0D47E,embellishment,ruffles,0,0,0,0,0,1,0,0,0
104,26743,31027,01DSEASPXQE6RT8G267SC2PVKR,"['herringbone', 'wool-blend', 'scarf', 'soft', 'warm', 'scarf', 'timeless', 'herringbone', 'pattern', 'extra', 'length', 'truly', 'bundle', 'cold', 'Banana', 'Republic']",01DSEASPY0NEGWHG52XFN7TPBM,embellishment,trim,0,0,0,0,0,0,0,0,1
110,28528,33084,01DS4AWFVF763Z4T0C0TA2HXK3,"['maika', 'floral-print', 'crepe', 'mini', 'dress', 'tailored', 'flared', 'hemline', 'alexis', 'mini', 'maika', 'crepe', 'dress', 'designed', 'floral', 'pattern', 'throughout', 'long', 'blouson', 'sleeve', 'scarf', 'accent', 'neck', 'pair', 'pointed', 'toe', 'pump', 'show', 'amazing', 'leg', 'woman', 'clothing', 'dress', 'Alexis']",01DS4AWFVN6KXAQWR9GHAAGD48,embellishment,ruffles,0,0,0,0,0,1,0,0,0
92,24230,28100,01DS49RWEAE45K5FN9C2EEN19T,"['ann', 'striped', 'ruffled', 'cotton', 'dress', 'loveshackfancy', 'ann', 'cotton', 'dress', 'designed', 'button', 'bodice', 'square', 'neckline', 'thick', 'shoulder', 'strap', 'pair', 'black', 'accessory', 'make', 'bold', 'statement', 'woman', 'clothing', 'dress', 'Loveshackfancy']",01DS49RWEJZYTG2FDZR7B8J66Y,embellishment,ruffles,0,0,0,0,0,1,0,0,0
94,24292,28176,01DS48GW7438XDB7SHNG3FHJN2,"['lisettetiered', 'floral-print', 'silk', 'skirt', 'loveshackfancy', 'lisette', 'silk', 'skirt', 'designed', 'maxi', 'skirt', 'color-blocked', 'floral', 'tier', 'create', 'coordinating', 'set', 'pairing', 'matching', 'silk', 'top', 'woman', 'clothing', 'skirt', 'Loveshackfancy']",01DS48GW78YH88DXBMBWQ36QP0,embellishment,ruffles,0,0,0,0,0,1,0,0,0
118,30029,34791,01DS448JWKPGXK5EGG34W6KCX0,"['mia', 'matelass', 'maxi', 'dress', 'calling', 'inner', 'vintage', 'goddess', 'kindred', 'mia', 'maxi', 'dress', 'feature', 'matelass', 'floral', 'fabric', 'mermaid', 'silhouette', 'slightest', 'train', 'designed', 'deep', 'v-neckline', 'swooping', 'back', 'top', 'hook', 'closure', 'long', 'keyhole', 'split', 'leading', 'invisible', 'zip', 'fastening', 'fitted', 'waist', 'give', 'way', 'full', 'maxi', 'skirt', 'ruffled', 'split', 'knee', 'length', 'ending', 'perforated', 'hem', 'light', 'grey', 'contrast', 'binding', 'frame', 'delicate', 'button', 'detailing', 'along', 'front', 'pair', 'brand', 'edie', 'fur', 'mirror', 'brand', 'pre-fall', 'lookbook', 'woman', 'clothing', 'dress', 'We', 'Are', 'Kindred']",01DS448JWTSBZ1A0H5887J81SG,embellishment,lace,0,0,0,1,0,0,0,0,0
96,24358,28256,01DS43ZKWF99YRFKAHW168PC1P,"['queenie', 'tie-detailed', 'floral-print', 'silk', 'dress', 'loveshackfancy', 'queenie', 'ultra-feminine', 'silk', 'dress', 'designed', 'ruffled', 'hemline', 'all-over', 'floral', 'print', 'pair', 'minimalist', 'accessory', 'keep', 'dress', 'focus', 'woman', 'clothing', 'dress', 'Loveshackfancy']",01DS43ZKWN7RNP879CKC6G9MAD,embellishment,ruffles,0,0,0,0,0,1,0,0,0
114,28820,33422,01DS43C8237S9EXWWVXCKZ4Q3A,"['idun', 'printed', 'crepe', 'de', 'chine', 'mini', 'dress', 'alexis', 'idun', 'crepe', 'de', 'chine', 'mini', 'dress', 'designed', 'ruffled', 'hem', 'all-over', 'abstract', 'print', 'v-neckline', 'pair', 'barely', 'sandal', 'make', 'fun', 'print', 'focus', 'woman', 'clothing', 'dress', 'Alexis']",01DS43C82GRZT3GFGYJ0ZWJFPN,embellishment,ruffles,0,0,0,0,0,1,0,0,0
56,13846,16120,01DS3YGC7T9CQZ285A73DAA9FH,"['ruffled', 'georgette', 'blouse', 'anna', 'sui', 'georgette', 'blouse', 'display', 'dramatic', 'ruffled', 'collar', 'center', 'front', 'placket', 'sleeve', 'cuff', 'style', 'tucked', 'high-waisted', 'skirt', 'mirror', 'brand', 'fall', 'winter', 'runway', 'woman', 'clothing', 'top', 'Anna', 'Sui']",01DS3YGC82YWX8ZQRAAASPEQDV,embellishment,ruffles,0,0,0,0,0,1,0,0,0
100,24485,28411,01DS3WPQDM1C74ZTT5X3GZMMBP,"['alexia', 'high-low', 'floral-print', 'cotton', 'silk-blend', 'dress', 'loveshackfancy', 'alexia', 'cotton', 'dress', 'designed', 'elasticated', 'off-the', 'shoulder', 'neckline', 'high-low', 'hemline', 'patterned', 'floral', 'motif', 'fluid', 'shape', 'detailed', 'ruffled', 'accent', 'throughout', 'style', 'belt', 'long-sleeved', 'blouse', 'complete', 'look', 'woman', 'clothing', 'dress', 'Loveshackfancy']",01DS3WPQDZF97KNBQ1W92VD0Z4,embellishment,ruffles,0,0,0,0,0,1,0,0,0
112,28744,33333,01DS3VQW4ND7F8QZMSRP653P1G,"['arabel', 'ruffled', 'silk-chiffon', 'blouse', 'perfect', 'layering', 'wearing', 'alone', 'alexis', 'arabel', 'blouse', 'designed', 'whisper-thin', 'silk', 'chiffon', 'creamy', 'hue', 'detailed', 'exaggerated', 'ruffle', 'along', 'v-neckline', 'finished', 'slender', 'tie', 'back', 'custom', 'fit', 'woman', 'clothing', 'top', 'Alexis']",01DS3VQW4VX28F855422PYP0D5,embellishment,ruffles,0,0,0,0,0,1,0,0,0
62,14156,16476,01DS3NJY966TNMK4X420K25RQS,"['picasso', 'frayed', 'tweed', 'jacket', 'brock', 'collection', 'frayed', 'picasso', 'tweed', 'jacket', 'display', 'ornate', 'button-up', 'design', 'short', 'sleeve', 'pocket', 'front', 'style', 'matching', 'tweed', 'pencil', 'skirt', 'complete', 'two-piece', 'set', 'woman', 'clothing', 'jacket', 'Brock', 'Collection']",01DS3NK66KJKF7E3BS3RCCN6XY,embellishment,trim,0,0,0,0,0,0,0,0,1
52,10662,12374,01DS3NBTE3728WW54M4VT90WXB,"['mesh-paneled', 'stretch-knit', 'turtleneck', 'bodysuit', 'zeynep', 'arçay', 'bodysuit', 'crafted', 'pliable', 'stretch-knit', 'high', 'neckline', 'mesh', 'panel', 'designed', 'full-length', 'sleeve', 'obvious', 'pairing', 'brand', 'leather', 'midi', 'skirt', 'mirroring', 'fall', 'lookbook', 'woman', 'clothing', 'top', 'Zeynep', 'Arçay']",01DS3NBTE9SR8ZFXND9B1A9QKG,embellishment,mesh,0,0,0,0,1,0,0,0,0
