,key_0,Unnamed: 0,product_id,final_list,product_color_id,attribute_name,attribute_value,androgynous,athleisure,boho,businesscasual,casual,classic,edgy,glam,modern,retro,romantic
17700,104052,123347,01E60710RJME1ADG2P26BGBQJ2,"['rocket', 'crop', 'skinny', 'jean', 'ankle-grazing', 'skinny', 'cut', 'premium', 'denim', 'feature', 'perfect', 'fade', 'go', 'everything', 'Citizens', 'Of', 'Humanity']",01E60710TXTG7K84PT2CVEETSN,style,casual,0,0,0,0,1,0,0,0,0,0,0
17226,101581,120171,01E6070VRWB5CXSBDCFNWB2NMF,"['danna', 'pointy', 'toe', 'pump', 'step', 'sophisticated', 'style', 'shapely', 'pump', 'lifted', 'slender', 'stiletto', 'heel', 'Sam', 'Edelman']",01E6071TH93ZFC7GAJCSKGFPT6,style,classic,0,0,0,0,0,1,0,0,0,0,0
10785,63163,73953,01E6070PV3HPRF6R499Q7N0M88,"['heavy', 'crepe', 'blouse', 'nicely', 'weighted', 'crepe', 'provides', 'beautiful', 'drape', 'loose-cut', 'blouse', 'framed', 'voluminous', 'bishop', 'sleeve', 'Ganni']",01E6070PWDZ4V52S833GWJFJQJ,style,casual,0,0,0,0,1,0,0,0,0,0,0
17649,103716,122844,01E6070892T9HB6NZ6APHTZ70N,"['air', 'ankle', 'skinny', 'jean', 'made', 'ultrasoft', 'lightweight', 'air', 'denim', 'streamlined', 'skinny', 'jean', 'cast', 'inky', 'black', 'wash', 'transition', 'seamlessly', 'day', 'night', '7', 'For', 'All', 'Mankind®']",01E60708AK4Q55J73MQ62YEA74,style,casual,0,0,0,0,1,0,0,0,0,0,0
15806,94093,111421,01E607036T15Q0N3N43VVX4JZJ,"['ines', 'embellished', 'slide', 'tory', 'step', 'glam', 'linen-and', 'calfskin', 'slide', 'iconic', 'double', 'logo', 'covered', 'rainbow', 'sparkling', 'jewel', 'Tory', 'Burch']",01E6070385M9YSQ6SQM7HQFDC8,style,boho,0,0,1,0,0,0,0,0,0,0,0
7718,44644,51738,01E606ZSSETA2X60TY021JG303,"['pack', 'crystal', 'embellished', 'pointed', 'toe', 'bootie', 'glitzy', 'crystal', 'dot', 'angled', 'heel', 'glossy', 'patent', 'leather', 'bootie', 'featuring', 'sharp', 'pointy-toe', 'silhouette', 'glam', 'attitude', 'Simon', 'Miller']",01E606ZST0GCWKV6Z58HJSEAGE,style,glam,0,0,0,0,0,0,0,1,0,0,0
11806,70091,82090,01E606XT0N94W9MMSQN9K88DSK,"['textured', 'ribbed', 'cotton', 'blend', 'sweater', 'stretch-kissed', 'blend', 'italian', 'yarn', 'elevates', 'staple', 'sweater', 'done', 'versatile', 'longer', 'length', 'finished', 'side', 'slit', 'easy', 'movement', 'Vince']",01E606XT174HZ28F1MYRN5VTRC,style,casual,0,0,0,0,1,0,0,0,0,0,0
8377,48514,56232,01E606WQQW3W31B1YQVMCEMQTF,"['olive', 'puff', 'pleated', 'sleeve', 'cotton', 'midi', 'dress', 'sheer', 'delicately', 'pleated', 'balloon', 'sleeve', 'trimmed', 'ruffle', 'accentuate', 'easy', 'cotton', 'poplin', 'midi', 'dress', 'flowy', 'drop-waist', 'silhouette', 'Sea']",01E606WQRFP1QZJ11MDZ01845M,style,casual,0,0,0,0,1,0,0,0,0,0,0
10324,60577,70674,01E606TX1A1NE6D6QS2G6XGVNX,"['ruffle', 'puff', 'sleeve', 'merino', 'wool', 'sweater', 'white', 'stripe-trimmed', 'ruffle', 'add', 'playful', 'squiggled', 'accent', 'puff', 'sleeve', 'navy', 'sweater', 'made', 'ribbed', 'superfine', 'merino', 'wool', 'Frame']",01E606TX1WA8V7B8V42AA9YQT8,style,casual,0,0,0,0,1,0,0,0,0,0,0
12857,76770,90151,01E606TEA5N45P2KBMVRKT6VZ6,"['insider', 'high', 'waist', 'crop', 'step', 'fray', 'jean', 'go-to', 'white-wash', 'jean', 'updated', 'high', 'waist', 'cutoff', 'step', 'hem', 'fresh', 'look', 'flaunt', 'footwear', 'Mother']",01E606TEAR4GRM6VHM4F7P9J7K,style,casual,0,0,0,0,1,0,0,0,0,0,0
10795,63220,74017,01E606T9J1PFPHXTJGVC339NDQ,"['leopard', 'print', 'mesh', 'long', 'sleeve', 'dress', 'fierce', 'spot', 'inject', 'even', 'attitude', 'curve-hugging', 'mesh', 'dress', 'ruched', 'throughout', 'flattering', 'fit', 'Ganni']",01E606T9JTZNP35JWDR507W3QT,style,edgy,0,0,0,0,0,0,1,0,0,0,0
10326,60586,70684,01E606T4T2HH0F29PMX8RT2ZFJ,"['le', 'scoop', 'organic', 'cotton', 'top', 'staple', 'piece', 'worn', 'often', 'choose', 'wisely', 'wear-everywhere', 't-shirt', 'styled', 'graceful', 'scooped', 'neck', 'made', 'organic', 'pima', 'cotton', 'Frame']",01E606T4TK5BVGTQACM8DH40XT,style,casual,0,0,0,0,1,0,0,0,0,0,0
13853,82874,97831,01E606R02TND6B512Q0QM9AW3N,"['grommet', 'leather', 'belt', 'large', 'polished', 'grommet', 'set', 'glossy', 'leather', 'belt', 'allow', 'find', 'perfect', 'fit', 'Allsaints']",01E606R03BV1M8T3XJP396ZZC4,style,edgy,0,0,0,0,0,0,1,0,0,0,0
17348,102290,121104,01E606Q2SK4WSQ4ANQ9KZRKQCW,"['small', 'leather', 'tote', 'scaled-down', 'version', 'mansur', 'gavriel', 'cult-status', 'tote', 'crafted', 'vegetable-tanned', 'italian', 'leather', 'wear', 'uniquely', 'time', 'Mansur', 'Gavriel']",01E606Q2T4PYDQ46ZWWXT4HQ16,style,casual,0,0,0,0,1,0,0,0,0,0,0
17299,101992,120715,01E606PY31WK6TPGFGN6EKJW1Q,"['natalia', 'metallic', 'shibori', 'long', 'sleeve', 'silk', 'blend', 'dress', 'metallic', 'fleck', 'illuminate', 'earthy', 'shibori-dyed', 'pattern', 'fluttery', 'ruffled', 'minidress', 'Ulla', 'Johnson']",01E606PY3N4QH8J1G1RWW9SNF4,style,casual,0,0,0,0,1,0,0,0,0,0,0
11810,70110,82112,01E606P5NW21AA5JX9W31CQBDM,"['essential', 'long', 'sleeve', 'pima', 'cotton', 'tee', 'made', 'supremely', 'soft', 'pure', 'pima', 'cotton', 'cut', 'just-right', 'relaxed', 'fit', 'wonder', 'wear-everywhere', 'crewneck', 'called', 'essential', 'Vince']",01E606P5PE7941F859PGG4RSSH,style,casual,0,0,0,0,1,0,0,0,0,0,0
15809,94108,111440,01E606MYE0S8EGFRDF6JT79ZY7,"['mcgraw', 'floral', 'camera', 'bag', 'leather', 'camera-style', 'bag', 'chain-detailed', 'crossbody', 'strap', 'turned', 'statement', 'maker', 'tory', 'lavishly', 'colored', 'floral', 'pattern', 'Tory', 'Burch']",01E606MYEKVH5D6B5PE9HC2K1Z,style,boho,0,0,1,0,0,0,0,0,0,0,0
12115,72208,84633,01E606KJS1CGPN1QADPAN9KJRN,"['maro', 'toe', 'loop', 'sandal', 'minimalist', 'modern', 'masterfully', 'crafted', 'sandal', 'live', 'season', 'styled', 'toe', 'loop', 'gently', 'lifted', 'cylindrical', 'heel', 'Vince']",01E606KJVJN93W4KFAZA94DVHP,style,edgy,0,0,0,0,0,0,1,0,0,0,0
12791,76375,89618,01E606HQS50FZF40JZD9GDKRQ5,"['toothpick', 'jean', 'lean', 'cropped', 'little', 'bit', 'sexy', 'crew', 'skinniest', 'style', 'cut', 'high-tech', 'turkish', 'stretch', 'cotton', 'super-flattering', 'fit', 'J.Crew']",01E606HQSPGDY1JZAAZSS4H89W,style,casual,0,0,0,0,1,0,0,0,0,0,0
8473,49054,56873,01E606GTD9481VCX6T9RCYHJP1,"['lucy', 'ruffle', 'cotton', 'top', 'double-edged', 'frill', 'form', 'flutter', 'sleeve', 'gauzy', 'cotton', 'top', 'gathered', 'ruffle', 'neck', 'secured', 'shining', 'button', 'keyhole', 'back', 'Sea']",01E606GTDT7QS04HC3VNYKET6N,style,classic,0,0,0,0,0,1,0,0,0,0,0
15803,94076,111402,01E606GBV7SSP3TN5PH119AFPD,"['floral', 'cotton', 'polo', 'classic', 'cotton', 'polo', 'change', 'game', 'delicate', 'florals', 'arranged', 'front', 'tumbling', 'sleeve', 'Tory', 'Burch']",01E606GBVRNGAKZRS5YXST3GHE,style,retro,0,0,0,0,0,0,0,0,0,1,0
12788,76363,89602,01E606ENXVQV0VHZKPD0MQR8Y0,"['zip-up', 'stripe', 'cotton', 'terry', 'hoodie', 'collection', 'comfy', 'low-key', 'piece', 'made', 'spirit', 'saturday', 'morning', 'mind', 'cotton', 'terry', 'hoodie', 'worn-forever', 'feel', 'get-go', 'J.Crew']",01E606ENYERKA92JWN6QQM5SD8,style,athleisure,0,1,0,0,0,0,0,0,0,0,0
8196,47391,54937,01E606EHC3TQEXWVXPSSN9XY8E,"['v-wrap', 'knit', 'top', 'silk-enhanced', 'ribbed', 'knit', 'make', 'cleverly', 'crafted', 'top', 'comfortable', 'chic', 'easy', 'way', 'stylishly', 'top', 'après-workout', 'look', 'Live', 'The', 'Process']",01E606EHCNQ8XPWKMVYJDKQNKB,style,athleisure,0,1,0,0,0,0,0,0,0,0,0
12121,72237,84672,01E606ECJ368BHVJQCDXTR5R7K,"['drapey', 'boyfriend', 'blazer', 'sheen', 'finish', 'decidedly', 'drapey', 'silhouette', 'one-button', 'blazer', 'casually', 'elegant', 'staple', 'want', 'wear', 'everywhere', 'Vince']",01E606ECJNTSNFH4HJCVMD408D,style,modern,0,0,0,0,0,0,0,0,1,0,0
13195,78968,92904,01E606CQGVQW8DT22Q4WZ1CPDN,"['marcella', 'velvet', 'bodysuit', 'plush', 'black', 'velvet', 'bodysuit', 'perfectly', 'drape', 'across', 'figure', 'elegant', 'look', 'day', 'night', ""L'Agence""]",01E606CQKVYQ68EN2MW8TWYNWQ,style,edgy,0,0,0,0,0,0,1,0,0,0,0
17698,104033,123320,01E606C7SRDEHGS8XZT4ZCNN6Y,"['alexa', 'high', 'waist', 'crop', 'wide', 'leg', 'jean', 'cropped', 'wide-leg', 'jean', 'high', 'waist', 'combine', 'retro', 'vibe', 'comfort', 'modern', 'stretch', 'denim', '7', 'For', 'All', 'Mankind®']",01E606C7TA17VMJ0CB3XS1CBMG,style,classic,0,0,0,0,0,1,0,0,0,0,0
12845,76692,90044,01E606BY0M7TNPFK265QDGC3RC,"['looker', 'high', 'waist', 'frayed', 'ankle', 'skinny', 'jean', 'cut', 'frayed', 'cropped', 'hem', 'streamlined', 'skinny', 'offer', 'sophisticated', 'take', 'rough-and', 'tumble', 'denim', 'trend', 'Mother']",01E606BY17MH5JGY6JFJP7ZHCZ,style,classic,0,0,0,0,0,1,0,0,0,0,0
8153,47155,54673,01E606BS8CB7WMQMHK4TCNRFJ5,"['vineyard', 'sandal', 'round', 'buckle', 'look', 'like', 'shaped', 'bamboo', 'brings', 'tropical', 'finish', 'crisscross', 'sandal', 'set', 'towering', 'sculpted', 'heel', 'Charles', 'David']",01E606BS90694N3P9JS1REAH4Y,style,modern,0,0,0,0,0,0,0,0,1,0,0
17234,101601,120194,01E606BFEM7AG619ERCY9Q7XRB,"['jennifer', 'studded', 'combat', 'boot', 'flat-headed', 'stud', 'roped', 'ball', 'bearing', 'trace', 'contour', 'pebbled', 'combat', 'boot', 'set', 'lugged', 'sole', 'cinched', 'shaft', 'two-buckle', 'cuff', 'Sam', 'Edelman']",01E606BFF6YXNCPWK7GN1HAZ3Z,style,casual,0,0,0,0,1,0,0,0,0,0,0
17301,102008,120739,01E606AVX7BRGY0PJDHK7HVG2A,"['greer', 'wide', 'leg', 'jean', 'roomy', 'pocket', 'robust', 'seam', 'give', 'wide-leg', 'jean', 'distinctly', 'utilitarian', 'feel', 'Ulla', 'Johnson']",01E606AVYKH479C7XC9FR6EZKH,style,modern,0,0,0,0,0,0,0,0,1,0,0
7693,44494,51540,01E606A8ARCBXW8W94DJKKNQ0D,"['side', 'twist', 'tank', 'dress', 'soft', 'sophistication', 'name', 'game', 'sleeveless', 'twist-front', 'frock', 'crafted', 'supima', 'cotton', 'Stateside']",01E606A8BB55BHS093GQGT3Y5Z,style,classic,0,0,0,0,0,1,0,0,0,0,0
17742,104345,123775,01E6069G6TMJB17AHD5JSDTKP4,"['rocket', 'ankle', 'skinny', 'jean', 'fitted', 'throughout', 'versatile', 'skinny', 'jean', 'create', 'polished', 'look', 'dark-ink', 'wash', 'easily', 'transition', 'weekday', 'weekend', 'styling', 'Citizens', 'Of', 'Humanity']",01E6069G7BEYR37C6HCPC35BY4,style,classic,0,0,0,0,0,1,0,0,0,0,0
8385,48561,56293,01E6068JSZRQXT7VDQB1N7DZZN,"['simone', 'snake', 'embossed', 'puff', 'sleeve', 'minidress', 'trend-savvy', 'snake-embossing', 'add', 'fierce', 'bite', 'burgundy', 'minidress', 'sweet', 'puffed', 'sleeve', 'pert', 'ruffle', 'shoulder', 'Sea']",01E6068JTH9FFX4CFQTYT5J7M2,style,modern,0,0,0,0,0,0,0,0,1,0,0
10792,63214,74010,01E60676H83RMEDYGH4VR144ND,"['washed', 'denim', 'strapless', 'peplum', 'top', 'classic', 'tube', 'top', 'reimagined', 'faded', 'nonstretch', 'denim', 'sparkly', 'jeweled', 'button', 'form-fitting', 'cropped', 'silhouette', 'flare', 'pretty', 'peplum', 'Ganni']",01E60676JG4H6T02MPW37MC8BV,style,classic,0,0,0,0,0,1,0,0,0,0,0
15815,94142,111486,01E60671M89T17R583RZEW83VW,"['colorblock', 'long', 'sleeve', 'wrap', 'dress', 'stand', 'party', 'season', 'flower', 'frill', 'satin', 'wrap', 'dress', 'blocked', 'luscious', 'high-intensity', 'hue', 'detailed', 'trapunto', 'stitching', 'Tory', 'Burch']",01E60671MTTTRGNSANFJDB5C2F,style,retro,0,0,0,0,0,0,0,0,0,1,0
10351,60687,70814,01E6066WQGBEGSKT0BR1YWHB46,"['le', 'garcon', 'slim', 'boyfriend', 'jean', 'sharp', 'tailoring', 'creates', 'modern', 'look', 'ankle-grazing', 'jean', 'combine', 'london-derived', 'style', 'premium', 'la-produced', 'denim', 'Frame']",01E6066WR4RC3HH3Y47K66MFR1,style,classic,0,0,0,0,0,1,0,0,0,0,0
10801,63261,74069,01E6066E5FNNJ0WH34406A9NB7,"['long', 'sleeve', 'check', 'seersucker', 'wrap', 'dress', 'puffy', 'balloon', 'sleeve', 'play', 'country-meets', 'city', 'charm', 'wrap', 'dress', 'made', 'lightweight', 'cotton-blend', 'seersucker', 'Ganni']",01E6066E62R4VSAJJJ3GV62E50,style,casual,0,0,0,0,1,0,0,0,0,0,0
12097,72121,84531,01E60637M6X6YHTZR74D1TA1VP,"['insulated', 'jacket', 'lightweight', 'layer', 'insulation', 'add', 'chilly-weather', 'utility', 'button-front', 'jacket', 'poised', 'addition', 'ensemble', 'Vince']",01E60637MTQJN19TFB6SAMPXZ8,style,classic,0,0,0,0,0,1,0,0,0,0,0
8470,49040,56857,01E6062M6P01XR30FAP1NZBH13,"['alessandra', 'crop', 'bustier', 'linen', 'blend', 'top', 'cropped', 'bustier', 'top', 'tailored', 'look', 'brings', 'tropical', 'vacay', 'vibe', 'thanks', 'italian', 'stretch-linen', 'blend', 'cool', 'off-white', 'hue', 'A.L.C.']",01E6062M9DRV5D3RASZPAXTDRB,style,modern,0,0,0,0,0,0,0,0,1,0,0
12819,76542,89830,01E6062F0BZBTN9YVYCVDKKM05,"['dazzler', 'high', 'waist', 'yoke', 'front', 'ankle', 'jean', 'switch', 'thing', 'denim', 'day', 'ankle-grazing', 'jean', 'designed', 'flattering', 'yoked', 'front', 'Mother']",01E6062F10STCQ2SPDJXEPCHGJ,style,modern,0,0,0,0,0,0,0,0,1,0,0
17204,101450,120023,01E60625QT93EPV3EBE2EPHCJC,"['bay', 'strappy', 'scarf', 'knot', 'slide', 'sandal', 'scarf-like', 'knotted', 'accent', 'strappy', 'vamp', 'enhances', 'fun', 'leisurely', 'vibe', 'topstitched', 'leather', 'sandal', 'Sam', 'Edelman']",01E6062SF1MZZCHF1YGXNYFGZV,style,casual,0,0,0,0,1,0,0,0,0,0,0
17326,102159,120943,01E6061HTGNYMWSQS1PD9M62EH,"['simone', 'puff', 'sleeve', 'eyelet', 'shift', 'dress', 'breezy', 'white-eyelet', 'shift', 'dress', 'look', 'even', 'fresher', 'pronounced', 'cutout', 'pattern', 'accenting', 'neckline', 'scalloped', 'hem', 'puffed', 'sleeve', 'Ulla', 'Johnson']",01E6061HX2TGYWH19BB113MQXD,style,casual,0,0,0,0,1,0,0,0,0,0,0
10788,63174,73964,01E6061CYK090DFQ0VMYB5BYGT,"['lightweight', 'jersey', 'turtleneck', 'exposed', 'seam', 'give', 'inside-out', 'look', 'essential', 'longline', 'turtleneck', 'cut', 'lightweight', 'jersey', 'branded', 'embroidered', 'logo', 'Ganni']",01E6061D14AV721HXFJPFYSQMP,style,classic,0,0,0,0,0,1,0,0,0,0,0
12960,77483,91041,01E606181VFGABTKSYBMCRSHRF,"['tenia', 'cotton', 'blend', 'blouse', 'crisp', 'spread', 'collar', 'smooth', 'french', 'placket', 'bring', 'polished', 'sophistication', 'versatile', 'blouse', 'cut', 'pristine', 'stretch-cotton', 'blend', 'Theory']",01E606182F82RF5VRCBMM3B954,style,classic,0,0,0,0,0,1,0,0,0,0,0
8069,46640,54053,01E6060SD4D3D6MP15A66AY86E,"['este', 'bootie', 'sure', 'reach', 'wardrobe-staple', 'status', 'square-toe', 'bootie', 'handmade', 'italian', 'leather', 'streamlined', 'design', 'low', 'covered', 'heel', 'By', 'Far']",01E6060SG79KXSJD9FDPFMQ6BM,style,classic,0,0,0,0,0,1,0,0,0,0,0
12957,77467,91022,01E6060AVDQDPGNQVBB2QP5PWW,"['floral', 'print', 'silk', 'top', 'abstract', 'floral', 'print', 'blossom', 'silky', 'balloon-sleeve', 'top', 'elevates', 'everyday', 'style', 'Theory']",01E6060AW0C866PV2XR4EM5QM9,style,classic,0,0,0,0,0,1,0,0,0,0,0
8485,49120,56961,01E605XX418CR95FK4628DPZ2F,"['crop', 'knit', 'hoodie', 'elevate', 'warm-up', 'cooldown', 'comfy', 'cropped', 'hoodie', 'designed', 'neck-warming', 'stand', 'collar', 'hand-warming', 'pocket', 'Live', 'The', 'Process']",01E605XX4KSN0D4V6059NQXCM8,style,athleisure,0,1,0,0,0,0,0,0,0,0,0
8463,48991,56797,01E605X8X71G47A82F46NJDB78,"['west', 'puff', 'sleeve', 'top', 'inverted', 'pleat', 'add', 'extra', 'fullness', 'puffed', 'sleeve', 'make', 'easy-to', 'wear', 'top', 'head-turner', 'A.L.C.']",01E605X8ZT73E3TEFXPP8MV6K5,style,retro,0,0,0,0,0,0,0,0,0,1,0
17638,103651,122754,01E605W1WB79DBQXXKX5FNB51H,"['twenty', 'ruched', 'sleeve', 'satin', 'blouse', 'showy', 'sleeve', 'bring', 'glorious', 'charm', 'satin', 'top', 'feel', 'fancy', 'fun', 'depending', 'style', 'Zadig', '&', 'Voltaire']",01E605W1WXHPKDWRSGX9AJPGMZ,style,boho,0,0,1,0,0,0,0,0,0,0,0
7909,45693,52949,01E605VK67ZSHYCCH68XAKE5QX,"['floral', 'crop', 'pant', 'drawstring', 'waist', 'cropped', 'silhouette', 'bring', 'relaxed', 'lounge-inspired', 'attitude', 'pant', 'slight', 'sheen', 'tonal', 'floral', 'pattern', 'silky', 'feel', 'Raquel', 'Allegra']",01E605VK6TY230WRCJJ5PXM2Z9,style,casual,0,0,0,0,1,0,0,0,0,0,0
16708,98987,117098,01E605V9DS41A82YRVHYP8CE2P,"['chaos', 'boot', 'crackle', 'finish', 'brings', 'glam', 'update', 'beloved', 'boot', 'still', 'retains', 'tough', 'punky', 'character', 'iconic', 'translucent', 'sole', 'Dr.', 'Martens']",01E605V9EDEGRDNKWKVQKQKF0R,style,casual,0,0,0,0,1,0,0,0,0,0,0
13912,83148,98152,01E605T79S6FWPJJB8H1YDMHXP,"['rosemary', 'square', 'leather', 'crossbody', 'bag', 'minimalist', 'styling', 'enhances', 'everyday', 'appeal', 'boxy', 'crossbody', 'bag', 'handmade', 'smooth', 'lambskin', 'leather', 'resists', 'scuff', 'scratch', 'Allsaints']",01E605T7ACMA0AVZF2P5KDTDXG,style,edgy,0,0,0,0,0,0,1,0,0,0,0
12785,76344,89579,01E605SX9BJ65CV5E60BM552D8,"['cameron', 'paint', 'embroidered', 'satin', 'chino', 'ultimate', 'month', 'a-year', 'seven-days', 'a-week', 'pant', 'supercute', 'floral', 'embroidery', 'sleek', 'sateen', 'chino', 'fabrication', 'J.Crew']",01E605SX9WJ7J3MTTFRJZM2FH6,style,casual,0,0,0,0,1,0,0,0,0,0,0
8076,46674,54091,01E605RP9T2DXH3HSXY4322V90,"['genuine', 'calf', 'hair', 'ankle', 'boot', 'notched', 'side', 'update', 'striking', 'ankle', 'boot', 'done', 'wildly', 'patterned', 'genuine', 'calf', 'hair', 'Intentionally', 'Blank']",01E605RPAD4FKTASWVSMZZEAW8,style,edgy,0,0,0,0,0,0,1,0,0,0,0
10293,60451,70506,01E605PQ404C8KH8Y41HCQPXM9,"['le', 'high', 'waist', 'sateen', 'skinny', 'jean', 'velvety', 'smooth', 'japanese', 'sateen', 'make', 'feel', 'extra', 'luxe', 'sleek', 'skinny', 'jean', 'styled', 'high', 'waist', 'ankle-cut', 'hem', 'Frame']",01E605PQ4NXJM892JKH0Y5T231,style,classic,0,0,0,0,0,1,0,0,0,0,0
17702,104061,123360,01E605NFJJ667X5MZVKG5XTYX4,"['rocket', 'ankle', 'skinny', 'jean', 'fitted', 'throughout', 'versatile', 'skinny', 'jean', 'create', 'sophisticated', 'look', 'dark', 'wash', 'easily', 'transition', 'weekday', 'weekend', 'styling', 'Citizens', 'Of', 'Humanity']",01E605NFK5P61GFP6KJ5GE6J0R,style,casual,0,0,0,0,1,0,0,0,0,0,0
16699,98952,117057,01E605N11A9X2GK8K9H74Y139F,"['voss', 'slingback', 'platform', 'sandal', 'signature', 'brand', 'detail', 'like', 'gold', 'welt', 'stitching', 'grooved', 'tread', 'lift', 'buckle-strap', 'slide', 'sandal', 'make', 'edgy', 'contrast', 'lightweight', 'ensemble', 'Dr.', 'Martens']",01E605N11Y6VA461XTY4P5BNAP,style,modern,0,0,0,0,0,0,0,0,1,0,0
12111,72188,84609,01E605KGCR10CFANSZBFNQZGJS,"['crinkle', 'top', 'unstructured', 'cut', 'casually', 'crinkled', 'japanese', 'fabric', 'top', 'wear', 'elegant', 'ease', 'style', 'agenda', 'Vince']",01E605KQ24PDKJ3B0EXX8YN6V7,style,casual,0,0,0,0,1,0,0,0,0,0,0
8482,49102,56938,01E605K6CHYZE3N2NX551JB4KX,"['brandon', 'ribbed', 'top', 'form-fitting', 'ribbed', 'texture', 'make', 'top', 'sleek', 'scoop', 'neck', 'three-quarter', 'sleeve', 'pale', 'lilac', 'hue', 'keep', 'look', 'cool', 'A.L.C.']",01E605K6D38ARQFEVPA7FZJQZ6,style,romantic,0,0,0,0,0,0,0,0,0,0,1
12962,77503,91062,01E605J94SRQAYFGSQ5Z0AHVKC,"['fitted', 'tweed', 'shell', 'cotton-rich', 'tweed', 'shell', 'sculpted', 'modern', 'seam', 'raw-edge', 'detail', 'black-and', 'white', 'option', 'want', 'work-to', 'weekend', 'look', 'Theory']",01E605J95CCJZ4M976QWKGC9M6,style,casual,0,0,0,0,1,0,0,0,0,0,0
17105,100968,119458,01E605HYYBJFE2HKMX4TZPQGBH,"['lace', 'sheath', 'dress', 'modern', 'take', 'traditional', 'lace', 'svelte', 'sheath', 'covered', 'combination', 'scalloped', 'bloom', 'circular', 'inset', 'show', 'glimpse', 'skin', 'Sam', 'Edelman']",01E605HYZS5DYD4GWAYTPTNRA3,style,romantic,0,0,0,0,0,0,0,0,0,0,1
